,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
13,13,TrialState.COMPLETE,-1221.7054443359375,2019-06-10 13:53:35.029249,2019-06-10 14:12:46.040773,64,0.2,2.4547250578515455e-08,0.98,0.8,0.003532823036260786,128,5,13,-81.77806854248047,-140.57470703125,-425.8179626464844,-425.60577392578125,-1351.4000244140625,-1719.4609375,-1358.1744384765625,-698.416015625,-1223.216064453125,-1534.114501953125,-1223.002685546875,-1653.307861328125,-2119.62158203125,-2177.723876953125,-2397.85595703125,-1472.22265625,-1706.370849609375,-1260.971923828125,-1221.7054443359375,
14,14,TrialState.PRUNED,-16.696468353271484,2019-06-10 13:54:26.539366,2019-06-10 13:57:08.670361,128,0.3,1.1829908421618713e-06,0.99,0.92,3.9900910508086456e-05,64,5,14,-16.871490478515625,-17.26430892944336,-16.696468353271484,,,,,,,,,,,,,,,,,
15,15,TrialState.PRUNED,-20.32088279724121,2019-06-10 13:57:08.780107,2019-06-10 14:00:03.659422,128,0.4,0.0007035659865299795,0.9999,0.9,2.092847008891181e-05,128,30,15,-17.86960220336914,-18.746131896972656,-20.32088279724121,,,,,,,,,,,,,,,,,
16,16,TrialState.PRUNED,-15.865473747253418,2019-06-10 14:00:03.773510,2019-06-10 14:02:59.914112,128,0.3,0.0001075537281247823,0.9999,0.8,2.949188649641697e-05,128,20,16,-15.68389892578125,-15.259794235229492,-15.865473747253418,,,,,,,,,,,,,,,,,
17,17,TrialState.PRUNED,-111.4201431274414,2019-06-10 14:03:00.024284,2019-06-10 14:11:48.040932,256,0.3,0.007757161518964252,0.99,1.0,0.017213560129739302,64,20,17,-79.40840148925781,-62.214515686035156,-129.02821350097656,-71.57736206054688,-78.39159393310547,-65.02568817138672,-110.82332611083984,-73.07609558105469,-111.4201431274414,,,,,,,,,,,
18,18,TrialState.PRUNED,-17.667736053466797,2019-06-10 14:11:48.152300,2019-06-10 14:15:01.707177,128,0.1,3.87843617778819e-06,0.9,0.92,6.67885940304771e-05,128,50,18,-14.937861442565918,-16.763324737548828,-17.667736053466797,,,,,,,,,,,,,,,,,
19,19,TrialState.PRUNED,-18.37250518798828,2019-06-10 14:12:46.061139,2019-06-10 14:16:14.070094,256,0.1,1.0789875507713825e-05,0.98,0.8,0.0002769377664622523,1024,20,19,-16.545074462890625,-18.481679916381836,-18.37250518798828,,,,,,,,,,,,,,,,,
20,20,TrialState.PRUNED,-16.042701721191406,2019-06-10 14:15:01.819028,2019-06-10 14:17:29.683057,128,0.3,0.04669206491248252,0.9,0.98,0.00013043921100581486,64,1,20,-19.297988891601562,-18.403961181640625,-16.042701721191406,,,,,,,,,,,,,,,,,
21,21,TrialState.COMPLETE,-1854.6337890625,2019-06-10 14:16:14.155763,2019-06-10 14:35:23.268617,256,0.2,0.004972613880453016,0.99,0.8,0.00030703278662754413,512,20,21,-16.332439422607422,-17.777740478515625,-74.37440490722656,-64.04467010498047,-100.18693542480469,-241.7625274658203,-480.17633056640625,-479.9556579589844,-715.86962890625,-849.2183837890625,-849.2452392578125,-1127.512451171875,-585.32958984375,-768.3004760742188,-1444.5562744140625,-1986.5882568359375,-1854.6337890625,,,
22,22,TrialState.PRUNED,-15.353739738464355,2019-06-10 14:17:29.793970,2019-06-10 14:20:39.633004,32,0.1,0.0007042407162426875,0.999,1.0,0.25625763237199567,16,5,22,-15.301393508911133,-12.644882202148438,-15.353739738464355,,,,,,,,,,,,,,,,,
23,23,TrialState.COMPLETE,-752.661376953125,2019-06-10 14:20:39.744601,2019-06-10 14:39:54.744478,64,0.4,9.267985377369853e-06,0.99,0.9,0.016593996576192826,512,20,23,-47.16989517211914,-646.4064331054688,-104.5452880859375,-35.71672821044922,-75.986328125,-128.65774536132812,-172.0330352783203,-189.60597229003906,-450.200439453125,-304.06524658203125,-238.62545776367188,-622.3248901367188,-519.9639892578125,-258.6322021484375,-826.2962646484375,-1076.7257080078125,-752.661376953125,,,
24,24,TrialState.PRUNED,-38.737205505371094,2019-06-10 14:35:23.290852,2019-06-10 14:38:30.163346,128,0.2,4.833208996930347e-06,0.999,0.8,0.0002753943473396786,512,10,24,-16.868423461914062,-19.158021926879883,-38.737205505371094,,,,,,,,,,,,,,,,,
