,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
15,15,TrialState.PRUNED,-16.029430389404297,2019-06-09 19:00:31.503794,2019-06-09 19:00:55.944963,128,0.4,0.0007035659865299795,0.9999,0.9,2.092847008891181e-05,128,30,15,,-15.535005569458008,-14.36400318145752,-16.029430389404297,,,,,,,,,,,,,,,,
16,16,TrialState.PRUNED,-14.329225540161133,2019-06-09 19:00:55.846492,2019-06-09 19:01:40.828979,128,0.3,0.0001075537281247823,0.9999,0.8,2.949188649641697e-05,128,20,16,,-15.861526489257812,-17.728776931762695,-16.219886779785156,-16.71101951599121,-15.705029487609863,-14.329225540161133,,,,,,,,,,,,,
17,17,TrialState.PRUNED,-88.53999328613281,2019-06-09 19:00:56.041504,2019-06-09 19:02:25.387082,256,0.3,0.007757161518964252,0.99,1.0,0.017213560129739302,64,20,17,,-21.553062438964844,-52.81743240356445,-63.24550247192383,-65.89613342285156,-64.95204162597656,-81.69319152832031,-56.3481559753418,-41.19252395629883,-50.233306884765625,-64.52114868164062,-68.13136291503906,-94.97422790527344,-88.53999328613281,,,,,,
18,18,TrialState.PRUNED,-14.458677291870117,2019-06-09 19:01:40.910091,2019-06-09 19:02:39.603185,128,0.1,3.87843617778819e-06,0.9,0.92,6.67885940304771e-05,128,50,18,,-20.224023818969727,-16.253604888916016,-16.35288429260254,-16.597919464111328,-15.349032402038574,-15.659513473510742,-14.458677291870117,,,,,,,,,,,,
19,19,TrialState.PRUNED,-16.768613815307617,2019-06-09 19:02:25.491580,2019-06-09 19:04:06.847267,256,0.1,1.0789875507713825e-05,0.98,0.8,0.0002769377664622523,1024,20,19,,-16.571781158447266,-17.685871124267578,-16.818073272705078,-17.25555992126465,-16.69725799560547,-16.768613815307617,,,,,,,,,,,,,
20,20,TrialState.PRUNED,-16.352832794189453,2019-06-09 19:02:39.686791,2019-06-09 19:02:58.063970,128,0.3,0.04669206491248252,0.9,0.98,0.00013043921100581486,64,1,20,,-16.827251434326172,-14.85364055633545,-16.352832794189453,,,,,,,,,,,,,,,,
21,21,TrialState.PRUNED,-16.607667922973633,2019-06-09 19:02:58.147462,2019-06-09 19:03:27.191767,256,0.2,0.004972613880453016,0.99,0.8,0.00030703278662754413,512,20,21,,-16.790592193603516,-14.91577434539795,-16.607667922973633,,,,,,,,,,,,,,,,
22,22,TrialState.PRUNED,-15.152195930480957,2019-06-09 19:03:27.277273,2019-06-09 19:03:49.198701,32,0.1,0.0007042407162426875,0.999,1.0,0.25625763237199567,16,5,22,,-15.216633796691895,-15.08863353729248,-15.152195930480957,,,,,,,,,,,,,,,,
23,23,TrialState.PRUNED,-15.637979507446289,2019-06-09 19:03:49.323022,2019-06-09 19:04:20.741655,64,0.4,9.267985377369853e-06,0.99,0.9,0.016593996576192826,512,20,23,,-16.18044662475586,-16.93446922302246,-15.637979507446289,,,,,,,,,,,,,,,,
24,24,TrialState.PRUNED,-16.840381622314453,2019-06-09 19:04:06.952005,2019-06-09 19:05:02.330340,128,0.2,4.833208996930347e-06,0.999,0.8,0.0002753943473396786,512,10,24,,-17.930858612060547,-15.98011302947998,-16.35818099975586,-16.593887329101562,-16.971271514892578,-16.840381622314453,,,,,,,,,,,,,
25,25,TrialState.PRUNED,-15.130465507507324,2019-06-09 19:04:20.853566,2019-06-09 19:06:20.696489,128,0.2,3.008338034851921e-06,0.99,0.8,2.8964727519363664e-05,2048,30,25,,-13.068896293640137,-15.268957138061523,-15.130465507507324,,,,,,,,,,,,,,,,
26,26,TrialState.PRUNED,-156.60231018066406,2019-06-09 19:05:02.437983,2019-06-09 19:07:46.582616,64,0.1,9.746469643787671e-08,0.99,1.0,0.0001277360334229857,16,20,26,,-16.86000633239746,-18.561214447021484,-30.737045288085938,-34.692710876464844,-54.288307189941406,-147.35073852539062,-147.58631896972656,-93.39094543457031,-93.3643569946289,-117.54820251464844,-118.1542739868164,-162.81396484375,-105.89705657958984,-153.62814331054688,-161.5276336669922,-157.01205444335938,-156.60231018066406,,
27,27,TrialState.PRUNED,-19.694320678710938,2019-06-09 19:06:20.783527,2019-06-09 19:07:36.340879,128,0.1,5.030234264555871e-08,0.999,0.92,0.03307066421636088,512,30,27,,-17.414859771728516,-18.179950714111328,-15.015031814575195,-17.273454666137695,-18.800174713134766,-16.90572738647461,-19.694320678710938,,,,,,,,,,,,
28,28,TrialState.PRUNED,-18.001327514648438,2019-06-09 19:07:36.427635,2019-06-09 19:08:26.656926,128,0.3,0.01193664839686921,0.999,0.95,5.587808619859331e-05,128,20,28,,-18.95743751525879,-16.34462547302246,-16.496612548828125,-18.899799346923828,-17.075450897216797,-16.783803939819336,-18.001327514648438,,,,,,,,,,,,
29,29,TrialState.FAIL,,2019-06-09 19:07:46.690054,2019-06-09 19:08:29.780312,64,0.2,0.0044795326983911605,0.999,0.95,0.1737965482009738,2048,20,29,Setting status of trial#29 as TrialState.FAIL because of the following error: AssertionError(),,,,,,,,,,,,,,,,,,,
