,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
75,75,TrialState.PRUNED,-15.010805130004883,2019-06-09 19:41:43.729753,2019-06-09 19:42:03.822483,64,0.3,1.7105366578849403e-08,0.95,0.95,0.17586991032487445,64,1,75,,-14.22875690460205,-13.342941284179688,-15.010805130004883,,,,,,,,,,,,,,,,
76,76,TrialState.PRUNED,-16.058197021484375,2019-06-09 19:42:03.931217,2019-06-09 19:42:26.197204,64,0.2,1.9798225961973459e-07,0.9,0.99,1.2068200403467223e-05,64,1,76,,-17.740812301635742,-19.05342674255371,-16.966440200805664,-16.058197021484375,,,,,,,,,,,,,,,
77,77,TrialState.PRUNED,-16.865528106689453,2019-06-09 19:42:06.032708,2019-06-09 19:42:28.258445,32,0.4,4.407507898821775e-08,0.99,1.0,3.107348880560463e-05,64,1,77,,-16.20901870727539,-18.3126220703125,-18.821903228759766,-16.865528106689453,,,,,,,,,,,,,,,
78,78,TrialState.PRUNED,-7.284755706787109,2019-06-09 19:42:26.305783,2019-06-09 19:44:19.160100,32,0.1,4.535171615999516e-05,0.995,0.95,0.15760312846337912,1024,50,78,,-8.437015533447266,-7.812150478363037,-7.284755706787109,,,,,,,,,,,,,,,,
79,79,TrialState.PRUNED,-15.847102165222168,2019-06-09 19:42:28.342944,2019-06-09 19:43:09.187281,64,0.4,5.920226956520813e-07,0.95,0.95,0.00012758645677339472,512,5,79,,-18.263015747070312,-18.5217342376709,-17.737077713012695,-15.847102165222168,,,,,,,,,,,,,,,
80,80,TrialState.PRUNED,-98.83637237548828,2019-06-09 19:43:09.273087,2019-06-09 19:46:17.626085,64,0.2,4.171213087519297e-06,0.98,1.0,0.0001672080073401165,128,50,80,,-16.81887435913086,-19.67783546447754,-21.280200958251953,-22.83009147644043,-45.64805603027344,-64.02064514160156,-108.45945739746094,-201.695556640625,-543.9830322265625,-89.8938980102539,-134.53038024902344,-215.1593475341797,-138.72244262695312,-169.50135803222656,-98.83637237548828,,,,
81,81,TrialState.PRUNED,-13.971368789672852,2019-06-09 19:44:19.300095,2019-06-09 19:44:51.419361,32,0.2,0.0003021127729551304,0.9999,0.92,0.10842119256455367,32,30,81,,-15.307324409484863,-12.013527870178223,-13.971368789672852,,,,,,,,,,,,,,,,
82,82,TrialState.PRUNED,-17.823936462402344,2019-06-09 19:44:51.527672,2019-06-09 19:45:29.379441,128,0.2,0.00043404224460925775,0.9999,0.95,0.0001610990948797007,128,50,82,,-16.99032211303711,-16.26238250732422,-20.93461799621582,-17.823936462402344,,,,,,,,,,,,,,,
83,83,TrialState.PRUNED,-24.132896423339844,2019-06-09 19:45:29.488087,2019-06-09 19:46:56.329295,128,0.4,9.881904484630431e-06,0.98,1.0,0.003078859654704399,128,50,83,,-18.47690200805664,-80.60771179199219,-16.814105987548828,-18.0814208984375,-19.18111801147461,-20.725963592529297,-21.2564640045166,-21.548908233642578,-23.61627769470215,-24.132896423339844,,,,,,,,,
84,84,TrialState.PRUNED,-13.504135131835938,2019-06-09 19:46:17.712274,2019-06-09 19:46:47.196569,128,0.3,3.4844064170301213e-06,0.98,0.95,0.6990612118305048,512,1,84,,-9.097757339477539,-11.51597785949707,-13.504135131835938,,,,,,,,,,,,,,,,
85,85,TrialState.PRUNED,-12.448408126831055,2019-06-09 19:46:47.281541,2019-06-09 19:47:10.965530,64,0.2,6.318796927487174e-07,0.995,0.9,0.48576007797024806,16,10,85,,-10.485692024230957,-9.70240306854248,-12.448408126831055,,,,,,,,,,,,,,,,
86,86,TrialState.PRUNED,-8.338163375854492,2019-06-09 19:46:56.437530,2019-06-09 19:47:16.750512,128,0.4,5.57109144861031e-07,0.999,0.9,0.9121289018687625,32,5,86,,-8.58728313446045,-12.044530868530273,-8.338163375854492,,,,,,,,,,,,,,,,
87,87,TrialState.COMPLETE,-568.6048583984375,2019-06-09 19:47:11.058482,2019-06-09 19:50:25.530563,64,0.4,2.561500900351186e-08,0.9999,0.9,0.028108736569220017,256,30,87,,-17.114856719970703,-18.488941192626953,-42.226524353027344,-30.287952423095703,-46.29655456542969,-78.66545104980469,-191.6217803955078,-258.85113525390625,-392.484375,-531.4837036132812,-536.1884155273438,-568.6048583984375,,,,,,,
88,88,TrialState.PRUNED,-17.044933319091797,2019-06-09 19:47:16.859913,2019-06-09 19:47:37.138191,128,0.1,1.8656666376026072e-06,0.99,0.92,0.0007434005958530917,64,5,88,,-17.854839324951172,-14.4786376953125,-17.044933319091797,,,,,,,,,,,,,,,,
89,89,TrialState.PRUNED,-16.512691497802734,2019-06-09 19:47:37.247177,2019-06-09 19:49:26.282835,32,0.2,0.0074872762274033385,0.99,0.99,0.00033292164885344533,2048,1,89,,-15.623308181762695,-16.32616424560547,-16.512691497802734,,,,,,,,,,,,,,,,
90,90,TrialState.PRUNED,-17.564735412597656,2019-06-09 19:49:26.390627,2019-06-09 19:49:50.910264,128,0.2,0.011776760369661233,0.95,0.92,0.014790691838932672,128,20,90,,-16.73272132873535,-17.888402938842773,-17.564735412597656,,,,,,,,,,,,,,,,
91,91,TrialState.FAIL,,2019-06-09 19:49:51.017667,2019-06-09 19:49:58.631720,32,0.3,0.091370400288189,0.95,0.92,0.691556763332138,64,30,91,Setting status of trial#91 as TrialState.FAIL because of the following error: AssertionError(),,,,,,,,,,,,,,,,,,,
92,92,TrialState.PRUNED,-17.971059799194336,2019-06-09 19:49:58.750854,2019-06-09 19:50:28.313406,256,0.1,8.363818957989298e-06,0.9,0.9,5.7779466622354875e-05,256,30,92,,-16.051427841186523,-18.186918258666992,-17.971059799194336,,,,,,,,,,,,,,,,
93,93,TrialState.FAIL,-10.25796127319336,2019-06-09 19:50:25.578991,2019-06-09 19:50:43.395195,64,0.3,0.059506266454311896,0.999,0.8,0.2998675155278725,256,30,93,Setting status of trial#93 as TrialState.FAIL because of the following error: AssertionError(),-10.25796127319336,,,,,,,,,,,,,,,,,,
94,94,TrialState.PRUNED,-16.88897705078125,2019-06-09 19:50:28.421833,2019-06-09 19:50:57.852684,64,0.2,0.00011465336058655816,0.9,0.8,0.00011957600999736118,512,10,94,,-16.9409122467041,-17.001684188842773,-16.88897705078125,,,,,,,,,,,,,,,,
95,95,TrialState.PRUNED,-16.79483985900879,2019-06-09 19:50:43.495458,2019-06-09 19:51:18.875806,128,0.1,0.01645530505859372,0.9999,0.95,1.3411790004660428e-05,256,10,95,,-18.833345413208008,-16.827566146850586,-16.1934814453125,-16.79483985900879,,,,,,,,,,,,,,,
96,96,TrialState.PRUNED,-16.58129119873047,2019-06-09 19:50:57.963080,2019-06-09 19:51:17.533715,32,0.3,2.1604900002667303e-06,0.98,0.92,0.056620684408986134,16,1,96,,-13.6947660446167,-13.500165939331055,-16.58129119873047,,,,,,,,,,,,,,,,
97,97,TrialState.PRUNED,-15.184300422668457,2019-06-09 19:51:17.642756,2019-06-09 19:52:08.548287,256,0.3,1.3272373312821063e-05,0.99,0.92,0.00018544392950008352,1024,10,97,,-18.2952938079834,-17.144420623779297,-15.184300422668457,,,,,,,,,,,,,,,,
98,98,TrialState.PRUNED,-118.56507873535156,2019-06-09 19:51:18.956742,2019-06-09 19:52:51.342496,128,0.2,0.0002273479277221037,0.99,0.9,0.025268089454075895,256,10,98,,-18.01480484008789,-18.453411102294922,-19.066566467285156,-27.17637062072754,-70.1319808959961,-111.86080169677734,-77.48416900634766,-61.92686080932617,-78.186279296875,-118.56507873535156,,,,,,,,,
99,99,TrialState.PRUNED,-17.35211944580078,2019-06-09 19:52:08.655958,2019-06-09 19:53:23.919347,32,0.3,0.014277209793622807,0.9999,0.92,0.02405539050163274,2048,5,99,,-16.933382034301758,-17.460044860839844,-17.35211944580078,,,,,,,,,,,,,,,,
