,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
249,249,TrialState.PRUNED,-4.389290809631348,2019-06-10 18:13:56.846509,2019-06-10 18:18:56.757694,128,0.3,0.0009618185665333931,0.995,0.9,0.07010962189475571,512,10,249,,-7.253554344177246,-5.318751811981201,-4.389290809631348,,,,,,,,,,,,,,,,,,,
250,250,TrialState.PRUNED,-12.144731521606445,2019-06-10 18:14:02.205176,2019-06-10 18:18:30.775417,256,0.3,0.0008011251385945826,0.99,0.9,0.12868251552667354,128,20,250,,-15.458844184875488,-12.449982643127441,-12.144731521606445,,,,,,,,,,,,,,,,,,,
251,251,TrialState.COMPLETE,-705.09765625,2019-06-10 18:14:24.573026,2019-06-10 19:04:31.134650,64,0.4,3.3708959375236605e-06,0.999,0.92,0.004588049689457134,32,5,251,,-21.614513397216797,-96.77678680419922,-67.45502471923828,-195.4604034423828,-483.005126953125,-610.8613891601562,-152.9459228515625,-303.27349853515625,-604.4091796875,-566.9851684570312,-682.2874145507812,-702.9942626953125,-626.7947387695312,-707.5706176757812,-692.7343139648438,-643.317626953125,-691.0224609375,-711.152099609375,-705.09765625,,,
252,252,TrialState.PRUNED,-15.024259567260742,2019-06-10 18:14:33.135318,2019-06-10 18:19:34.725374,256,0.2,9.418212260451452e-06,0.9,0.98,0.00010653581499170616,512,50,252,,-15.677523612976074,-17.048704147338867,-15.024259567260742,,,,,,,,,,,,,,,,,,,
253,253,TrialState.PRUNED,-17.596904754638672,2019-06-10 18:16:00.039859,2019-06-10 18:35:19.797700,256,0.3,0.003289669636809377,0.995,0.95,0.00041712056877445813,2048,1,253,,-17.41803550720215,-13.987666130065918,-17.596904754638672,,,,,,,,,,,,,,,,,,,
254,254,TrialState.PRUNED,-18.49212646484375,2019-06-10 18:17:41.529898,2019-06-10 18:22:54.698410,128,0.3,4.228783955051469e-07,0.99,1.0,0.00012783470044212093,512,50,254,,-16.48869514465332,-21.751598358154297,-18.49212646484375,,,,,,,,,,,,,,,,,,,
255,255,TrialState.PRUNED,-20.17092514038086,2019-06-10 18:18:31.151450,2019-06-10 18:24:37.355724,64,0.4,2.3692943158521484e-07,0.99,0.95,0.0032903825254795706,512,30,255,,-16.607759475708008,-17.91936683654785,-20.17092514038086,,,,,,,,,,,,,,,,,,,
256,256,TrialState.COMPLETE,-34.33095932006836,2019-06-10 18:18:50.977091,2019-06-10 18:37:11.873823,256,0.4,0.0003353004453773765,0.995,1.0,0.0038512960315190223,2048,50,256,,-18.226957321166992,-18.58218002319336,-34.33095932006836,,,,,,,,,,,,,,,,,,,
257,257,TrialState.PRUNED,-16.95541000366211,2019-06-10 18:18:54.432485,2019-06-10 18:23:17.449300,256,0.3,0.004160404733987429,0.9999,0.9,1.185508383882709e-05,128,1,257,,-16.730159759521484,-13.044092178344727,-16.95541000366211,,,,,,,,,,,,,,,,,,,
258,258,TrialState.PRUNED,-16.519678115844727,2019-06-10 18:18:57.095379,2019-06-10 18:23:46.351218,128,0.1,1.9239285428445392e-05,0.95,0.98,0.010108074456667343,512,5,258,,-17.032604217529297,-18.401718139648438,-16.519678115844727,,,,,,,,,,,,,,,,,,,
259,259,TrialState.PRUNED,-18.515594482421875,2019-06-10 18:19:16.793305,2019-06-10 18:27:41.420116,128,0.3,0.0023467696466808433,0.999,0.95,0.03466664181594057,16,50,259,,-19.241363525390625,-14.474453926086426,-74.48674011230469,-19.48295783996582,-18.515594482421875,,,,,,,,,,,,,,,,,
260,260,TrialState.FAIL,,2019-06-10 18:19:30.296106,2019-06-10 18:25:58.975999,128,0.2,0.0026790940667135057,0.98,1.0,0.20732448257885963,2048,30,260,Setting status of trial#260 as TrialState.FAIL because of the following error: AssertionError(),,,,,,,,,,,,,,,,,,,,,,
261,261,TrialState.PRUNED,-16.322086334228516,2019-06-10 18:19:35.078656,2019-06-10 18:23:39.228916,128,0.1,1.5850660747791302e-05,0.95,0.9,0.043077961871971646,128,30,261,,-16.20687484741211,-18.60824203491211,-16.322086334228516,,,,,,,,,,,,,,,,,,,
262,262,TrialState.PRUNED,-7.072129726409912,2019-06-10 18:19:56.938565,2019-06-10 18:23:56.587442,256,0.4,1.2458456327827967e-08,0.999,0.99,0.4339592771063401,32,30,262,,-8.715161323547363,1.9986248016357422,-7.072129726409912,,,,,,,,,,,,,,,,,,,
263,263,TrialState.PRUNED,-15.883962631225586,2019-06-10 18:22:55.067309,2019-06-10 18:26:10.982515,32,0.2,1.0256976074794122e-05,0.98,0.9,1.5707660332921244e-05,64,5,263,,-16.318429946899414,-17.986003875732422,-15.883962631225586,,,,,,,,,,,,,,,,,,,
264,264,TrialState.PRUNED,-16.680774688720703,2019-06-10 18:23:17.829144,2019-06-10 18:46:34.926959,64,0.4,6.205214397998383e-05,0.995,0.8,0.030900755574685575,2048,30,264,,-17.98784065246582,-17.201595306396484,-16.680774688720703,,,,,,,,,,,,,,,,,,,
265,265,TrialState.PRUNED,-16.27608299255371,2019-06-10 18:23:39.593584,2019-06-10 18:28:22.289674,64,0.4,0.0047732292895535985,0.99,0.98,2.044815024971663e-05,256,1,265,,-17.58597183227539,-14.94416332244873,-16.27608299255371,,,,,,,,,,,,,,,,,,,
266,266,TrialState.PRUNED,-14.996847152709961,2019-06-10 18:23:46.712088,2019-06-10 18:27:51.792292,32,0.4,1.5401993170512881e-06,0.98,0.92,0.06596956489770069,128,20,266,,-11.685372352600098,-14.611494064331055,-14.996847152709961,,,,,,,,,,,,,,,,,,,
267,267,TrialState.PRUNED,-19.50010871887207,2019-06-10 18:23:56.926761,2019-06-10 18:27:11.958689,64,0.1,0.008817680235362942,0.9999,0.95,0.001416372187341968,16,1,267,,-17.825876235961914,-17.93606948852539,-19.50010871887207,,,,,,,,,,,,,,,,,,,
268,268,TrialState.PRUNED,-22.765644073486328,2019-06-10 18:24:07.686880,2019-06-10 18:29:16.540542,256,0.2,1.0215351724133661e-07,0.98,1.0,0.0033982165835091224,256,50,268,,-15.25633716583252,-20.062335968017578,-22.765644073486328,,,,,,,,,,,,,,,,,,,
269,269,TrialState.PRUNED,-32.04022979736328,2019-06-10 18:24:37.735852,2019-06-10 18:30:22.616256,64,0.1,0.0003232676495429863,0.9999,0.98,0.023348895848000605,32,50,269,,-16.04132652282715,-30.66604232788086,-17.799972534179688,-32.04022979736328,,,,,,,,,,,,,,,,,,
270,270,TrialState.PRUNED,-5.588809967041016,2019-06-10 18:25:59.376364,2019-06-10 18:31:26.570774,32,0.2,3.647487795640558e-08,0.99,0.92,0.9983185484036619,256,20,270,,-8.288461685180664,-12.321538925170898,-5.588809967041016,,,,,,,,,,,,,,,,,,,
271,271,TrialState.PRUNED,-16.730052947998047,2019-06-10 18:26:11.345873,2019-06-10 18:30:21.268161,128,0.1,0.010532572059818546,0.995,0.9,1.6774473788295633e-05,128,50,271,,-17.68931007385254,-15.794271469116211,-16.730052947998047,,,,,,,,,,,,,,,,,,,
272,272,TrialState.PRUNED,-16.95367431640625,2019-06-10 18:27:12.339597,2019-06-10 18:46:11.111371,128,0.2,2.8564680125752786e-08,0.95,0.99,0.0010522322345954476,2048,30,272,,-15.656834602355957,-17.354047775268555,-16.95367431640625,,,,,,,,,,,,,,,,,,,
273,273,TrialState.PRUNED,-23.510074615478516,2019-06-10 18:27:41.802889,2019-06-10 18:33:23.399049,128,0.3,0.000399123295044629,0.98,1.0,0.013699520343855319,512,1,273,,-15.399737358093262,-17.530345916748047,-23.510074615478516,,,,,,,,,,,,,,,,,,,
274,274,TrialState.PRUNED,-4.991081237792969,2019-06-10 18:27:52.154189,2019-06-10 18:46:14.599633,256,0.3,5.306598827293141e-07,0.995,0.8,0.3488924676570151,2048,30,274,,-4.895808696746826,-7.938695430755615,-4.991081237792969,,,,,,,,,,,,,,,,,,,
275,275,TrialState.PRUNED,-13.657890319824219,2019-06-10 18:28:07.306691,2019-06-10 18:31:52.325546,32,0.2,2.3927717904643173e-06,0.995,0.99,0.07213742771084487,16,5,275,,-14.09064769744873,-13.281591415405273,-13.657890319824219,,,,,,,,,,,,,,,,,,,
276,276,TrialState.PRUNED,-18.135814666748047,2019-06-10 18:28:22.659151,2019-06-10 18:31:47.112769,32,0.2,0.0012883015606786955,0.999,0.8,0.00012850062867398115,64,1,276,,-16.33319091796875,-18.0485782623291,-18.135814666748047,,,,,,,,,,,,,,,,,,,
277,277,TrialState.COMPLETE,-315.53533935546875,2019-06-10 18:29:16.909646,2019-06-10 19:15:09.337414,256,0.4,2.0477404260649126e-08,0.99,0.98,0.00037875171460972885,16,30,277,,-37.40183639526367,-113.99859619140625,-128.17185974121094,-81.42305755615234,-117.9809341430664,-163.89019775390625,-460.80584716796875,-545.8935546875,-685.6095581054688,-169.167236328125,-176.78976440429688,-23.784927368164062,-35.021705627441406,-120.92724609375,-358.30828857421875,-182.32318115234375,-315.67974853515625,-730.8779296875,-732.6651611328125,-596.4661865234375,-439.15289306640625,-315.53533935546875
278,278,TrialState.PRUNED,-17.465545654296875,2019-06-10 18:29:34.079797,2019-06-10 18:39:17.577545,256,0.4,0.03661353467545801,0.999,0.92,0.004894731749605499,1024,50,278,,-17.030986785888672,-16.626052856445312,-17.465545654296875,,,,,,,,,,,,,,,,,,,
279,279,TrialState.PRUNED,-10.751355171203613,2019-06-10 18:29:59.257350,2019-06-10 18:33:39.037131,256,0.1,0.0024172911399684403,0.99,0.8,0.12225491220020783,32,20,279,,-7.403053283691406,-13.620513916015625,-10.751355171203613,,,,,,,,,,,,,,,,,,,
280,280,TrialState.PRUNED,-23.603927612304688,2019-06-10 18:30:21.657035,2019-06-10 18:37:12.472260,64,0.4,0.007958167482817063,0.999,0.99,0.022784446555047057,128,20,280,,-16.753864288330078,-22.277889251708984,-75.03132629394531,-70.72444152832031,-23.603927612304688,,,,,,,,,,,,,,,,,
281,281,TrialState.PRUNED,-16.665918350219727,2019-06-10 18:30:22.987760,2019-06-10 18:34:12.035021,128,0.3,5.613940096906484e-06,0.99,0.8,1.544615845763261e-05,16,5,281,,-18.215335845947266,-16.411766052246094,-16.665918350219727,,,,,,,,,,,,,,,,,,,
282,282,TrialState.PRUNED,-10.157072067260742,2019-06-10 18:31:26.939054,2019-06-10 18:37:25.758818,128,0.4,2.5431087858952328e-08,0.9999,0.98,0.14203053586846526,16,30,282,,-21.574689865112305,-59.85517501831055,-8.3955717086792,-16.061687469482422,-10.157072067260742,,,,,,,,,,,,,,,,,
283,283,TrialState.PRUNED,-18.011871337890625,2019-06-10 18:31:47.503002,2019-06-10 18:36:44.361020,256,0.4,0.05615687550056157,0.95,0.8,0.02166926114748374,256,20,283,,-17.152942657470703,-17.134815216064453,-18.011871337890625,,,,,,,,,,,,,,,,,,,
284,284,TrialState.PRUNED,-16.19077491760254,2019-06-10 18:31:52.685002,2019-06-10 18:35:21.979425,128,0.4,0.08158177658110842,0.95,0.95,0.023729541258887037,64,1,284,,-16.433582305908203,-15.580395698547363,-16.19077491760254,,,,,,,,,,,,,,,,,,,
285,285,TrialState.COMPLETE,-653.88671875,2019-06-10 18:33:23.782604,2019-06-10 19:33:03.033252,256,0.2,0.002072195258571829,0.995,0.95,0.000856430781478145,32,20,285,,-20.004596710205078,-20.708404541015625,-58.71327590942383,-99.98405456542969,-115.2017822265625,-418.58697509765625,-686.9916381835938,-710.070556640625,-715.1588134765625,-724.2376708984375,-725.4050903320312,-646.4262084960938,-726.2247314453125,-723.5045166015625,-712.2413940429688,-723.28466796875,-722.0077514648438,-719.4849853515625,-653.88671875,,,
286,286,TrialState.PRUNED,-15.675509452819824,2019-06-10 18:33:39.394015,2019-06-10 18:42:26.966977,256,0.1,2.6217993294148467e-06,0.9,0.8,0.031454268194292305,1024,5,286,,-16.090499877929688,-15.779016494750977,-15.675509452819824,,,,,,,,,,,,,,,,,,,
287,287,TrialState.PRUNED,-16.729700088500977,2019-06-10 18:34:12.435384,2019-06-10 18:38:03.990849,128,0.4,0.003739553586271733,0.98,0.98,1.4637554373701823e-05,32,10,287,,-19.100133895874023,-16.403728485107422,-16.729700088500977,,,,,,,,,,,,,,,,,,,
288,288,TrialState.PRUNED,-16.63449478149414,2019-06-10 18:35:20.183564,2019-06-10 18:45:51.638936,32,0.3,6.814208261440319e-06,0.9,1.0,9.770437246577166e-05,1024,10,288,,-16.066234588623047,-17.3386173248291,-16.63449478149414,,,,,,,,,,,,,,,,,,,
289,289,TrialState.PRUNED,-14.927599906921387,2019-06-10 18:35:22.347888,2019-06-10 18:39:20.336599,256,0.2,0.003381321934508661,0.9,0.9,0.03550516416863189,128,1,289,,-17.143985748291016,-15.265240669250488,-14.927599906921387,,,,,,,,,,,,,,,,,,,
290,290,TrialState.PRUNED,-12.209685325622559,2019-06-10 18:36:44.735758,2019-06-10 18:55:13.427549,256,0.1,7.790472908835867e-05,0.995,1.0,0.25409159763631095,2048,20,290,,-9.232244491577148,-15.175259590148926,-12.209685325622559,,,,,,,,,,,,,,,,,,,
291,291,TrialState.PRUNED,-16.940235137939453,2019-06-10 18:37:12.072898,2019-06-10 18:47:43.337988,64,0.1,8.09066034125874e-05,0.98,0.92,5.6461028411620726e-05,1024,50,291,,-16.19418716430664,-16.735984802246094,-16.940235137939453,,,,,,,,,,,,,,,,,,,
292,292,TrialState.PRUNED,-6.761131286621094,2019-06-10 18:37:12.831013,2019-06-10 18:40:58.983065,32,0.2,0.013432574831360204,0.999,0.99,0.8182187801358698,128,5,292,,-10.415201187133789,-8.08954906463623,-6.761131286621094,,,,,,,,,,,,,,,,,,,
293,293,TrialState.PRUNED,-16.044370651245117,2019-06-10 18:37:26.116855,2019-06-10 18:54:43.088893,128,0.2,0.022154343069567067,0.99,0.8,0.04906340991484006,2048,1,293,,-15.714378356933594,-18.132604598999023,-16.044370651245117,,,,,,,,,,,,,,,,,,,
294,294,TrialState.PRUNED,-43.603111267089844,2019-06-10 18:38:04.367114,2019-06-10 18:45:53.957501,128,0.4,9.312319963377855e-08,0.9999,0.9,0.03227964981773975,32,10,294,,-56.7609748840332,-83.94412231445312,-62.200714111328125,-62.36643600463867,-27.283056259155273,-43.603111267089844,,,,,,,,,,,,,,,,
295,295,TrialState.PRUNED,-10.284106254577637,2019-06-10 18:39:17.961060,2019-06-10 18:43:29.912829,32,0.3,3.213364566161224e-08,0.9999,1.0,0.07194963878364309,128,20,295,,-13.93651008605957,-12.392066955566406,-10.284106254577637,,,,,,,,,,,,,,,,,,,
296,296,TrialState.PRUNED,-10.586244583129883,2019-06-10 18:39:20.694908,2019-06-10 18:44:21.338731,256,0.2,7.965182733633288e-06,0.9,0.98,0.17240046849157306,512,5,296,,-11.173826217651367,-11.882040977478027,-10.586244583129883,,,,,,,,,,,,,,,,,,,
297,297,TrialState.PRUNED,-15.673864364624023,2019-06-10 18:40:59.356206,2019-06-10 18:58:59.816949,64,0.2,0.02742621431700197,0.9,0.8,0.0005640999181685875,2048,5,297,,-16.920934677124023,-16.295669555664062,-15.673864364624023,,,,,,,,,,,,,,,,,,,
298,298,TrialState.PRUNED,-17.49355125427246,2019-06-10 18:42:27.343542,2019-06-10 18:46:01.572570,128,0.2,2.3546654132684577e-05,0.98,1.0,1.2609744185006196e-05,128,1,298,,-17.37322425842285,-16.480182647705078,-17.49355125427246,,,,,,,,,,,,,,,,,,,
299,299,TrialState.PRUNED,-7.647975921630859,2019-06-10 18:43:30.303614,2019-06-10 18:48:29.617128,64,0.3,0.0004592367584345679,0.99,0.95,0.6091271564600478,512,5,299,,-12.236798286437988,-21.419536590576172,-7.647975921630859,,,,,,,,,,,,,,,,,,,
300,300,TrialState.PRUNED,-18.475454330444336,2019-06-10 18:44:21.740800,2019-06-10 19:05:20.706237,64,0.3,1.3735405935572148e-08,0.995,0.95,0.0004413354360860878,2048,30,300,,-16.637882232666016,-17.17603874206543,-18.475454330444336,,,,,,,,,,,,,,,,,,,
301,301,TrialState.PRUNED,-11.670342445373535,2019-06-10 18:45:52.025781,2019-06-10 19:06:19.512892,256,0.4,0.002412326310089151,0.999,0.8,0.07062282784582019,2048,20,301,,-7.41294002532959,-11.37164306640625,-11.670342445373535,,,,,,,,,,,,,,,,,,,
302,302,TrialState.PRUNED,-11.19765853881836,2019-06-10 18:45:54.335653,2019-06-10 18:51:30.895444,128,0.1,0.00012794407050594527,0.98,0.9,0.3119795278743248,256,30,302,,-9.627809524536133,-3.642394542694092,-11.19765853881836,,,,,,,,,,,,,,,,,,,
303,303,TrialState.PRUNED,-16.470252990722656,2019-06-10 18:46:01.927097,2019-06-10 18:49:29.196577,64,0.3,0.0015220551062512398,0.95,0.99,4.54862345877057e-05,16,20,303,,-17.97310447692871,-14.214327812194824,-16.470252990722656,,,,,,,,,,,,,,,,,,,
304,304,TrialState.PRUNED,-17.934276580810547,2019-06-10 18:46:11.465864,2019-06-10 18:49:50.724575,256,0.1,0.0017387696090675686,0.9999,0.95,3.11744954983247e-05,128,5,304,,-16.620084762573242,-16.47957992553711,-17.934276580810547,,,,,,,,,,,,,,,,,,,
305,305,TrialState.PRUNED,-17.660572052001953,2019-06-10 18:46:14.937881,2019-06-10 18:49:53.536572,128,0.1,0.027176717820711543,0.999,0.95,5.406530791621829e-05,128,5,305,,-18.215028762817383,-16.971893310546875,-17.660572052001953,,,,,,,,,,,,,,,,,,,
306,306,TrialState.PRUNED,-17.51310920715332,2019-06-10 18:46:35.311710,2019-06-10 18:50:09.977849,256,0.2,0.00012571784879952846,0.995,1.0,0.0012732880861762537,16,1,306,,-15.664240837097168,-16.75043296813965,-17.51310920715332,,,,,,,,,,,,,,,,,,,
307,307,TrialState.PRUNED,-17.764781951904297,2019-06-10 18:47:43.703756,2019-06-10 18:50:47.531346,128,0.2,4.802468411489947e-06,0.995,1.0,0.0012208595656186649,32,1,307,,-16.115224838256836,-16.301572799682617,-17.764781951904297,,,,,,,,,,,,,,,,,,,
308,308,TrialState.PRUNED,-8.576375961303711,2019-06-10 18:48:29.995781,2019-06-10 18:53:51.635118,128,0.1,2.3697762434914594e-08,0.98,0.99,0.44190690365295876,256,50,308,,-11.634968757629395,-12.306126594543457,-8.576375961303711,,,,,,,,,,,,,,,,,,,
309,309,TrialState.PRUNED,-18.26712417602539,2019-06-10 18:49:29.570002,2019-06-10 18:54:12.681590,128,0.3,0.0002548171118767469,0.99,0.98,0.003409246576897637,512,1,309,,-18.175992965698242,-16.73057746887207,-18.26712417602539,,,,,,,,,,,,,,,,,,,
310,310,TrialState.FAIL,,2019-06-10 18:49:51.101583,2019-06-10 18:56:59.715084,64,0.1,0.002794292907825954,0.9,0.98,0.16858642194055495,2048,30,310,Setting status of trial#310 as TrialState.FAIL because of the following error: AssertionError(),,,,,,,,,,,,,,,,,,,,,,
311,311,TrialState.PRUNED,-16.987817764282227,2019-06-10 18:49:53.894728,2019-06-10 18:53:11.768668,256,0.4,0.00014855933486314628,0.999,0.98,1.654163375521802e-05,64,5,311,,-16.989654541015625,-16.17078971862793,-16.987817764282227,,,,,,,,,,,,,,,,,,,
312,312,TrialState.PRUNED,-16.457332611083984,2019-06-10 18:50:10.353538,2019-06-10 18:55:24.916954,32,0.2,0.04546903686002055,0.99,0.92,2.6390084464424227e-05,128,30,312,,-18.11188507080078,-16.41739273071289,-16.457332611083984,,,,,,,,,,,,,,,,,,,
313,313,TrialState.PRUNED,-15.57249641418457,2019-06-10 18:50:47.915268,2019-06-10 18:55:00.032206,32,0.1,0.06036934793246751,0.9,0.8,3.558261281871351e-05,64,50,313,,-15.811907768249512,-17.941862106323242,-15.57249641418457,,,,,,,,,,,,,,,,,,,
314,314,TrialState.PRUNED,-17.782272338867188,2019-06-10 18:51:31.300356,2019-06-10 18:55:19.309653,128,0.4,0.07531089266537949,0.9,0.92,0.0010689175389822113,16,1,314,,-17.55213737487793,-16.654266357421875,-17.782272338867188,,,,,,,,,,,,,,,,,,,
315,315,TrialState.PRUNED,-9.85983657836914,2019-06-10 18:53:12.181700,2019-06-10 18:57:08.880714,128,0.3,4.944159497016158e-07,0.98,0.95,0.5320468021909798,16,30,315,,-11.742616653442383,-14.763606071472168,-9.85983657836914,,,,,,,,,,,,,,,,,,,
316,316,TrialState.PRUNED,-26.662044525146484,2019-06-10 18:53:52.018162,2019-06-10 18:57:59.332860,128,0.2,0.025676100980743834,0.98,0.98,0.023920818511637864,128,30,316,,-17.244327545166016,-20.960338592529297,-26.662044525146484,,,,,,,,,,,,,,,,,,,
317,317,TrialState.PRUNED,-15.745588302612305,2019-06-10 18:54:13.052651,2019-06-10 19:03:20.464742,32,0.1,7.683951588813451e-08,0.9999,1.0,0.017477707576540463,1024,1,317,,-17.659862518310547,-15.205568313598633,-15.745588302612305,,,,,,,,,,,,,,,,,,,
318,318,TrialState.PRUNED,-20.209590911865234,2019-06-10 18:54:43.455721,2019-06-10 19:00:11.461574,128,0.4,0.005036117520832216,0.999,0.9,0.01020969747239108,256,50,318,,-18.707265853881836,-18.532909393310547,-20.209590911865234,,,,,,,,,,,,,,,,,,,
319,319,TrialState.PRUNED,-60.88364791870117,2019-06-10 18:55:00.424102,2019-06-10 19:01:11.450188,128,0.2,0.00010297391700382212,0.9999,0.95,0.008757145140062103,64,50,319,,-18.864322662353516,-46.40790557861328,-70.78337097167969,-65.1954574584961,-60.88364791870117,,,,,,,,,,,,,,,,,
320,320,TrialState.PRUNED,-15.115087509155273,2019-06-10 18:55:13.802934,2019-06-10 18:58:49.389052,128,0.2,1.696021326864444e-08,0.999,0.9,0.1834192987484244,32,5,320,,-10.176408767700195,-14.25541877746582,-15.115087509155273,,,,,,,,,,,,,,,,,,,
321,321,TrialState.PRUNED,-16.71126365661621,2019-06-10 18:55:19.673638,2019-06-10 19:00:51.648939,64,0.3,0.002356461461847709,0.995,0.92,0.10348487795554004,256,1,321,,-9.91130256652832,-15.400634765625,-16.71126365661621,,,,,,,,,,,,,,,,,,,
322,322,TrialState.PRUNED,-10.032767295837402,2019-06-10 18:55:25.281933,2019-06-10 19:15:23.409901,32,0.1,6.534957675081924e-08,0.9999,1.0,0.3149622589709488,2048,1,322,,-11.290641784667969,-7.231576442718506,-10.032767295837402,,,,,,,,,,,,,,,,,,,
323,323,TrialState.PRUNED,-71.923828125,2019-06-10 18:57:00.095460,2019-06-10 19:04:27.082300,256,0.3,8.599183615783017e-05,0.95,0.92,0.002977306647286386,32,30,323,,-19.91221046447754,-60.981956481933594,-67.1815185546875,-88.2787857055664,-89.88296508789062,-71.923828125,,,,,,,,,,,,,,,,
324,324,TrialState.PRUNED,-25.813671112060547,2019-06-10 18:57:09.231645,2019-06-10 19:02:53.990235,32,0.4,4.055380483615462e-05,0.98,0.9,0.00035561288725187635,256,30,324,,-15.770593643188477,-17.59840965270996,-25.813671112060547,,,,,,,,,,,,,,,,,,,
325,325,TrialState.PRUNED,-11.718460083007812,2019-06-10 18:57:59.719916,2019-06-10 19:03:32.449397,32,0.4,1.146215188770417e-06,0.995,0.92,0.5335250951834857,256,20,325,,-8.482722282409668,-10.577826499938965,-11.718460083007812,,,,,,,,,,,,,,,,,,,
326,326,TrialState.PRUNED,-73.05387878417969,2019-06-10 18:58:49.765099,2019-06-10 19:04:19.522843,64,0.3,0.00804652590917458,0.95,0.99,0.0011545358996067692,16,5,326,,-15.844642639160156,-19.9757080078125,-45.738319396972656,-60.65983200073242,-73.05387878417969,,,,,,,,,,,,,,,,,
327,327,TrialState.FAIL,,2019-06-10 18:59:00.195047,2019-06-10 19:02:46.903594,64,0.4,0.030842102879806946,0.98,1.0,0.1097101229124026,1024,50,327,Setting status of trial#327 as TrialState.FAIL because of the following error: AssertionError(),,,,,,,,,,,,,,,,,,,,,,
328,328,TrialState.PRUNED,-16.963764190673828,2019-06-10 18:59:11.635292,2019-06-10 19:02:15.926263,256,0.2,1.009966173000631e-06,0.99,0.92,9.550008791919824e-05,64,1,328,,-16.505054473876953,-15.306828498840332,-16.963764190673828,,,,,,,,,,,,,,,,,,,
329,329,TrialState.PRUNED,-18.68692398071289,2019-06-10 19:00:11.833758,2019-06-10 19:05:22.138626,64,0.4,1.7860077095352476e-06,0.95,0.98,3.535210761312942e-05,256,20,329,,-18.09206199645996,-15.262289047241211,-18.68692398071289,,,,,,,,,,,,,,,,,,,
330,330,TrialState.PRUNED,-17.935043334960938,2019-06-10 19:00:52.037827,2019-06-10 19:06:24.947269,128,0.4,0.006027917779110068,0.95,1.0,0.002936923644839653,512,20,330,,-17.367002487182617,-18.01422691345215,-17.935043334960938,,,,,,,,,,,,,,,,,,,
331,331,TrialState.PRUNED,-11.160304069519043,2019-06-10 19:01:11.822535,2019-06-10 19:12:46.000198,32,0.1,4.6324186408155884e-07,0.99,1.0,0.14891275889956418,1024,50,331,,-5.9753289222717285,-9.315890312194824,-11.160304069519043,,,,,,,,,,,,,,,,,,,
332,332,TrialState.PRUNED,-16.142677307128906,2019-06-10 19:02:16.311586,2019-06-10 19:05:55.649421,32,0.4,1.1572308337497194e-08,0.9,1.0,3.439577961170067e-05,64,20,332,,-16.886852264404297,-15.644726753234863,-16.142677307128906,,,,,,,,,,,,,,,,,,,
333,333,TrialState.PRUNED,-18.45662498474121,2019-06-10 19:02:47.284144,2019-06-10 19:08:07.225831,64,0.2,1.271452243707931e-08,0.9999,0.98,0.00374150688217543,256,30,333,,-15.031715393066406,-18.51759147644043,-18.45662498474121,,,,,,,,,,,,,,,,,,,
334,334,TrialState.PRUNED,-17.201942443847656,2019-06-10 19:02:54.361070,2019-06-10 19:08:14.548963,128,0.2,0.0033058162425772066,0.98,0.98,0.0001090344332091001,256,50,334,,-16.295848846435547,-16.292781829833984,-17.201942443847656,,,,,,,,,,,,,,,,,,,
335,335,TrialState.PRUNED,-17.167734146118164,2019-06-10 19:03:20.864683,2019-06-10 19:14:09.706635,64,0.1,0.00022525249504612638,0.9,0.99,0.00013517775484505237,1024,50,335,,-15.603261947631836,-16.46307945251465,-17.167734146118164,,,,,,,,,,,,,,,,,,,
336,336,TrialState.PRUNED,-16.30890464782715,2019-06-10 19:03:32.845509,2019-06-10 19:07:22.900860,64,0.1,0.002611135503233178,0.995,0.98,0.00019179503986424955,128,1,336,,-15.812687873840332,-18.143543243408203,-16.30890464782715,,,,,,,,,,,,,,,,,,,
337,337,TrialState.PRUNED,-16.960636138916016,2019-06-10 19:04:19.906198,2019-06-10 19:07:50.902207,128,0.4,6.359805724083793e-06,0.98,0.99,0.00031397478791185833,16,5,337,,-17.02804183959961,-16.711605072021484,-16.960636138916016,,,,,,,,,,,,,,,,,,,
338,338,TrialState.PRUNED,-22.699647903442383,2019-06-10 19:04:27.426646,2019-06-10 19:08:22.346412,128,0.4,6.41875055689299e-05,0.995,0.95,0.0721130780894894,32,30,338,,-20.51845359802246,-21.304290771484375,-22.699647903442383,,,,,,,,,,,,,,,,,,,
339,339,TrialState.PRUNED,-16.14472198486328,2019-06-10 19:04:31.434962,2019-06-10 19:08:40.236991,256,0.3,0.00011131767347537793,0.9999,0.95,0.06937711605304256,128,30,339,,-14.952102661132812,-14.786581039428711,-16.14472198486328,,,,,,,,,,,,,,,,,,,
