,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
12,12,TrialState.COMPLETE,-34.08781814575195,2019-06-10 15:29:57.401014,2019-06-10 15:47:57.715571,256,0.3,1.2965434798948996e-07,0.995,0.95,4.411959206764392e-05,32,10,12,,-15.637298583984375,-16.387279510498047,-17.359811782836914,-15.473657608032227,-19.91543197631836,-16.54084587097168,-16.274600982666016,-16.046096801757812,-17.44144058227539,-17.4105281829834,-19.27713394165039,-22.28399085998535,-17.885854721069336,-20.843334197998047,-33.2529182434082,-22.662139892578125,-24.075275421142578,-25.68631362915039,-34.08781814575195,,,
13,13,TrialState.COMPLETE,-559.0345458984375,2019-06-10 15:29:57.401105,2019-06-10 16:21:38.788565,256,0.1,5.924149205927411e-08,0.999,0.95,0.0003776954513878896,32,20,13,,-14.196789741516113,-21.169153213500977,-29.893604278564453,-47.201255798339844,-65.43523406982422,-117.5809555053711,-568.9181518554688,-531.5423583984375,-538.450439453125,-431.88104248046875,-531.9560546875,-667.8651123046875,-619.5899658203125,-530.2850341796875,-690.4097900390625,-689.2608642578125,-131.46905517578125,-688.4092407226562,-559.0345458984375,,,
14,14,TrialState.COMPLETE,-18.1623592376709,2019-06-10 15:29:57.401195,2019-06-10 15:48:21.120179,128,0.4,1.6611627904686212e-06,0.9,0.92,0.007095513849771357,2048,20,14,,-15.876564025878906,-16.592487335205078,-18.1623592376709,,,,,,,,,,,,,,,,,,,
15,15,TrialState.COMPLETE,-13.934066772460938,2019-06-10 15:29:57.401301,2019-06-10 16:03:47.344224,32,0.3,2.3772591724440764e-07,0.95,1.0,0.014837826542888368,64,10,15,,-18.721994400024414,-34.05562210083008,-169.08395385742188,-31.6811466217041,-159.01248168945312,-721.0565185546875,-206.0635528564453,-58.92902755737305,-302.66717529296875,-448.01275634765625,-95.53691864013672,-91.46874237060547,-148.65232849121094,-290.6315612792969,-286.8746032714844,-615.104736328125,-649.8004150390625,-487.7652282714844,-13.934066772460938,,,
16,16,TrialState.COMPLETE,-44.80228042602539,2019-06-10 15:32:10.835798,2019-06-10 15:52:12.259106,256,0.3,0.026125263421258274,0.95,0.98,0.003506265539263686,256,5,16,,-16.601608276367188,-16.473299026489258,-16.90958595275879,-17.62632179260254,-18.492403030395508,-17.39693260192871,-22.233421325683594,-33.319278717041016,-38.24611282348633,-41.78052520751953,-62.42700958251953,-44.80228042602539,,,,,,,,,,
17,17,TrialState.PRUNED,-16.521467208862305,2019-06-10 15:46:33.415512,2019-06-10 15:55:42.739441,128,0.1,0.007877611477592443,0.99,1.0,1.1137392476956773e-05,1024,1,17,,-16.404516220092773,-15.213053703308105,-16.521467208862305,,,,,,,,,,,,,,,,,,,
18,18,TrialState.COMPLETE,-18.026203155517578,2019-06-10 15:47:18.829514,2019-06-10 16:06:27.446614,32,0.1,7.408842444219173e-05,0.99,0.99,0.0009752226149117105,1024,1,18,,-16.654788970947266,-17.772977828979492,-18.77419662475586,-15.317265510559082,-20.227758407592773,-18.026203155517578,,,,,,,,,,,,,,,,
19,19,TrialState.PRUNED,-13.612643241882324,2019-06-10 15:47:36.624515,2019-06-10 16:14:41.170923,128,0.4,0.0008436473662195887,0.999,0.8,0.007048424134958728,16,50,19,,-29.183557510375977,-158.69544982910156,-13.77111530303955,-15.009791374206543,-154.18679809570312,-13.522005081176758,-15.20252799987793,-11.581171035766602,-7.597360134124756,-12.207891464233398,-15.726232528686523,-15.15699577331543,-14.616620063781738,-15.375253677368164,-14.699955940246582,-16.95214080810547,-17.047481536865234,-13.612643241882324,,,,
20,20,TrialState.COMPLETE,-448.864990234375,2019-06-10 15:47:57.727263,2019-06-10 16:40:28.174538,32,0.1,0.01871839952306137,0.99,0.95,0.0009560737120621064,16,30,20,,-20.109582901000977,-61.7694091796875,-77.64195251464844,-119.14158630371094,-203.07815551757812,-164.73489379882812,-65.79119110107422,-198.7311553955078,-379.36871337890625,-188.2546844482422,-483.7252502441406,-561.03515625,-609.63623046875,-744.1163940429688,-613.9227905273438,-732.0841064453125,-727.7180786132812,-739.4852905273438,-505.61199951171875,-515.0908813476562,-568.8099365234375,-448.864990234375
21,21,TrialState.COMPLETE,-46.5697021484375,2019-06-10 15:48:21.143251,2019-06-10 16:12:03.062922,32,0.4,0.07079400773184771,0.9999,1.0,0.001761930165640282,512,30,21,,-15.9321928024292,-15.96034049987793,-20.876760482788086,-21.029626846313477,-23.994855880737305,-37.657875061035156,-38.952659606933594,-45.01301193237305,-31.896484375,-50.07133102416992,-36.17302703857422,-46.5697021484375,,,,,,,,,,
