,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,TrialState.COMPLETE,-7.01052713394165,2019-08-07 00:35:53.122472,2019-08-07 00:38:34.159875,32,0.4,0.010130230408794483,0.999,0.95,0.1664672261412471,2048,5,0,-10.749417304992676,-10.108491897583008,-7.01052713394165,,,,,,,,,,,,,,,,
1,1,TrialState.COMPLETE,-40.77001190185547,2019-08-07 00:35:53.123046,2019-08-07 00:39:05.320428,64,0.1,2.4945421193251008e-08,0.995,0.9,0.0003073781785362607,64,10,1,-12.789366722106934,-12.564867973327637,-11.762094497680664,-15.806864738464355,-19.45806884765625,-22.96306037902832,-26.939926147460938,-18.113054275512695,-25.166210174560547,-28.908184051513672,-29.904821395874023,-34.02637481689453,-33.74191665649414,-39.81965255737305,-45.620567321777344,-45.6905403137207,-17.692989349365234,-35.56787109375,-40.77001190185547
2,2,TrialState.COMPLETE,-16.040311813354492,2019-08-07 00:38:34.163030,2019-08-07 00:40:33.084855,128,0.2,0.030142305558202694,0.9999,0.9,0.006921859910208607,2048,1,2,-14.745758056640625,-12.258814811706543,-16.040311813354492,,,,,,,,,,,,,,,,
3,3,TrialState.COMPLETE,-14.398496627807617,2019-08-07 00:39:05.323633,2019-08-07 00:41:02.532385,32,0.4,0.0027996081984870843,0.9,0.92,0.14557916623227773,128,1,3,-12.872671127319336,-8.782354354858398,-6.594326972961426,-10.31828784942627,-12.475736618041992,-12.692520141601562,-11.669864654541016,-13.354130744934082,-11.882744789123535,-12.475975036621094,-13.875592231750488,-14.061294555664062,-14.398114204406738,-12.93842601776123,-13.47838306427002,-14.398496627807617,,,
