,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14,14,TrialState.PRUNED,3.095984697341919,2019-08-07 02:15:39.311432,2019-08-07 02:17:27.061722,128,0.3,1.1829908421618713e-06,0.99,0.92,3.9900910508086456e-05,64,5,14,,7.3672027587890625,1.9017527103424072,3.4087631702423096,5.785123825073242,3.095984697341919,,,,,,,,,,,,,,,,
15,15,TrialState.PRUNED,-1.609903335571289,2019-08-07 02:17:27.286216,2019-08-07 02:20:09.005847,128,0.4,0.0007035659865299795,0.9999,0.9,2.092847008891181e-05,128,30,15,,3.0039515495300293,2.1166930198669434,4.104645729064941,3.3253707885742188,-1.609903335571289,,,,,,,,,,,,,,,,
16,16,TrialState.PRUNED,4.519014358520508,2019-08-07 02:20:09.224144,2019-08-07 02:22:06.626957,128,0.3,0.0001075537281247823,0.9999,0.8,2.949188649641697e-05,128,20,16,,3.53065824508667,3.3281071186065674,6.354130744934082,4.519014358520508,,,,,,,,,,,,,,,,,
17,17,TrialState.PRUNED,3.0043230056762695,2019-08-07 02:20:17.859016,2019-08-07 02:23:49.681770,256,0.3,0.007757161518964252,0.99,1.0,0.017213560129739302,64,20,17,,-3.870361328125,-1.7451574802398682,-1.4341518878936768,5.204255104064941,6.045662879943848,-2.410282850265503,3.0043230056762695,,,,,,,,,,,,,,
18,18,TrialState.PRUNED,0.4289616048336029,2019-08-07 02:22:06.836411,2019-08-07 02:25:49.086641,128,0.1,3.87843617778819e-06,0.9,0.92,6.67885940304771e-05,128,50,18,,2.7711877822875977,0.3436446189880371,0.5815908908843994,-0.9989693760871887,0.4289616048336029,,,,,,,,,,,,,,,,
19,19,TrialState.PRUNED,-0.9456823468208313,2019-08-07 02:23:49.884248,2019-08-07 02:27:54.619121,256,0.1,1.0789875507713825e-05,0.98,0.8,0.0002769377664622523,1024,20,19,,1.7778888940811157,4.122156143188477,0.3691996932029724,-2.7656073570251465,-3.357962131500244,-0.9456823468208313,,,,,,,,,,,,,,,
20,20,TrialState.PRUNED,3.571033000946045,2019-08-07 02:25:49.295859,2019-08-07 02:27:31.705804,128,0.3,0.04669206491248252,0.9,0.98,0.00013043921100581486,64,1,20,,1.6328411102294922,2.666966199874878,2.3826498985290527,1.1378085613250732,3.571033000946045,,,,,,,,,,,,,,,,
21,21,TrialState.PRUNED,-21.247350692749023,2019-08-07 02:27:31.918202,2019-08-07 02:33:48.500105,256,0.2,0.004972613880453016,0.99,0.8,0.00030703278662754413,512,20,21,,2.5160470008850098,-3.7047476768493652,-3.4596779346466064,-6.686701774597168,-7.9132208824157715,-12.349156379699707,-15.340189933776855,-15.543817520141602,-21.247350692749023,,,,,,,,,,,,
22,22,TrialState.PRUNED,7.186988830566406,2019-08-07 02:27:54.819064,2019-08-07 02:29:33.840028,32,0.1,0.0007042407162426875,0.999,1.0,0.25625763237199567,16,5,22,,19.080581665039062,3.5234127044677734,3.8847522735595703,7.186988830566406,,,,,,,,,,,,,,,,,
23,23,TrialState.COMPLETE,-17.410568237304688,2019-08-07 02:29:34.039225,2019-08-07 02:38:51.394647,64,0.4,9.267985377369853e-06,0.99,0.9,0.016593996576192826,512,20,23,,-3.513150691986084,-8.362839698791504,-7.311419486999512,-13.277691841125488,-23.346050262451172,-37.675804138183594,-54.37620162963867,-143.9178466796875,-19.17660140991211,-16.406387329101562,-14.995376586914062,-17.410568237304688,,,,,,,,,
