,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
65,65,TrialState.COMPLETE,-432.61492919921875,2019-08-07 06:15:21.173392,2019-08-07 06:28:55.550520,256,0.3,2.0525139087697197e-08,0.9,0.92,0.0019919545214867325,1024,20,65,,-293.79669189453125,-370.6545104980469,-330.46942138671875,-375.4210205078125,-321.17767333984375,-275.94818115234375,-277.1083679199219,-311.58624267578125,-336.89483642578125,-343.2508850097656,-419.1954650878906,-432.61492919921875,,,,,,,,
66,66,TrialState.PRUNED,-362.619873046875,2019-08-07 06:28:55.586994,2019-08-07 06:33:44.953890,256,0.4,0.00011035719208702894,0.9,0.98,0.0003420192085916292,2048,5,66,,-336.54083251953125,-353.8567199707031,-362.619873046875,,,,,,,,,,,,,,,,,
67,67,TrialState.PRUNED,-331.1729431152344,2019-08-07 06:33:45.159626,2019-08-07 06:36:32.789738,256,0.2,1.31543554944804e-07,0.98,0.9,0.0060554599478899445,32,20,67,,-342.89239501953125,-285.81414794921875,-331.1729431152344,,,,,,,,,,,,,,,,,
68,68,TrialState.PRUNED,-361.81512451171875,2019-08-07 06:33:50.057548,2019-08-07 06:36:22.359020,256,0.1,1.0692943306539131e-07,0.995,1.0,0.00042503415645610363,64,5,68,,-344.4898681640625,-358.8753662109375,-361.81512451171875,,,,,,,,,,,,,,,,,
69,69,TrialState.PRUNED,-365.48199462890625,2019-08-07 06:36:22.557654,2019-08-07 06:39:25.149509,32,0.3,0.023649015000495138,0.98,0.9,2.892683058218275e-05,32,20,69,,-264.67840576171875,-336.2864685058594,-365.48199462890625,,,,,,,,,,,,,,,,,
70,70,TrialState.COMPLETE,-345.1863708496094,2019-08-07 06:36:32.996087,2019-08-07 06:46:07.855481,128,0.3,9.64142355719148e-06,0.98,0.95,2.9329001801011224e-05,2048,10,70,,-350.78607177734375,-384.6549377441406,-361.79974365234375,-363.4689025878906,-338.37103271484375,-345.1863708496094,,,,,,,,,,,,,,
71,71,TrialState.PRUNED,-310.33087158203125,2019-08-07 06:39:25.409691,2019-08-07 06:42:17.904731,128,0.1,0.0013175933067699672,0.9,0.92,1.3656673416552015e-05,1024,1,71,,-302.46820068359375,-343.5331115722656,-310.33087158203125,,,,,,,,,,,,,,,,,
72,72,TrialState.PRUNED,-360.8799133300781,2019-08-07 06:42:18.103378,2019-08-07 06:45:28.196970,256,0.4,0.0001370531927748255,0.9999,1.0,0.0019529635436328463,512,5,72,,-305.5345153808594,-311.63916015625,-360.8799133300781,,,,,,,,,,,,,,,,,
73,73,TrialState.COMPLETE,-378.8837585449219,2019-08-07 06:45:28.403917,2019-08-07 07:02:03.665503,64,0.3,0.005563778666223539,0.98,0.98,0.007564074719136701,128,10,73,,-387.87298583984375,-390.10015869140625,-361.7403869628906,-314.5392761230469,-350.9742126464844,-337.48016357421875,-365.2953796386719,-425.35528564453125,-448.699951171875,-426.67059326171875,-363.2867126464844,-328.9698181152344,-339.39239501953125,-340.01361083984375,-368.4936828613281,-331.85174560546875,-386.8794860839844,-434.220703125,-378.8837585449219,
74,74,TrialState.COMPLETE,-376.93560791015625,2019-08-07 06:46:07.897155,2019-08-07 07:01:03.077248,128,0.3,6.152332665223691e-06,0.99,1.0,0.013947365926504713,512,30,74,,-386.82391357421875,-407.34210205078125,-344.2546081542969,-408.0403137207031,-422.5269470214844,-335.7261047363281,-327.01043701171875,-267.94232177734375,-313.66326904296875,-187.072021484375,-253.6900634765625,-376.93560791015625,,,,,,,,
75,75,TrialState.PRUNED,-312.4083557128906,2019-08-07 07:01:03.118110,2019-08-07 07:03:08.958898,64,0.3,1.7105366578849403e-08,0.95,0.95,0.17586991032487445,64,1,75,,-208.71316528320312,-191.21022033691406,-312.4083557128906,,,,,,,,,,,,,,,,,
76,76,TrialState.COMPLETE,-353.3255310058594,2019-08-07 07:02:03.709748,2019-08-07 07:15:04.065760,64,0.2,1.9798225961973459e-07,0.9,0.99,1.2068200403467223e-05,64,1,76,,-405.6728820800781,-359.17999267578125,-393.51568603515625,-388.0482482910156,-382.38482666015625,-400.25213623046875,-252.71890258789062,-355.57061767578125,-408.609375,-431.9092712402344,-254.4628448486328,-385.5911865234375,-292.3740234375,-391.8648376464844,-355.1632385253906,-387.6835632324219,-394.28656005859375,-331.0366516113281,-353.3255310058594,
77,77,TrialState.COMPLETE,-424.1378479003906,2019-08-07 07:03:09.151376,2019-08-07 07:17:20.545167,32,0.4,4.407507898821775e-08,0.99,1.0,3.107348880560463e-05,64,1,77,,-392.1988830566406,-390.6775817871094,-400.2195739746094,-408.0589904785156,-421.12109375,-364.1849060058594,-393.6592712402344,-421.82855224609375,-429.7021484375,-409.07891845703125,-421.67352294921875,-420.06182861328125,-397.6302795410156,-391.5712890625,-378.21575927734375,-422.55987548828125,-378.865234375,-402.59368896484375,-424.1378479003906,
78,78,TrialState.PRUNED,-306.80767822265625,2019-08-07 07:15:04.118062,2019-08-07 07:20:19.793144,32,0.1,4.535171615999516e-05,0.995,0.95,0.15760312846337912,1024,50,78,,-333.5553894042969,-296.8753356933594,-306.80767822265625,,,,,,,,,,,,,,,,,
79,79,TrialState.PRUNED,-290.602294921875,2019-08-07 07:17:20.593181,2019-08-07 07:20:30.536527,64,0.4,5.920226956520813e-07,0.95,0.95,0.00012758645677339472,512,5,79,,-303.6076965332031,-248.923828125,-290.602294921875,,,,,,,,,,,,,,,,,
80,80,TrialState.PRUNED,-314.4658508300781,2019-08-07 07:20:19.999938,2019-08-07 07:24:02.695441,64,0.2,4.171213087519297e-06,0.98,1.0,0.0001672080073401165,128,50,80,,-356.32672119140625,-322.1072692871094,-314.4658508300781,,,,,,,,,,,,,,,,,
81,81,TrialState.PRUNED,-246.9835968017578,2019-08-07 07:20:30.737784,2019-08-07 07:23:57.886282,32,0.2,0.0003021127729551304,0.9999,0.92,0.10842119256455367,32,30,81,,-162.14114379882812,-269.72393798828125,-246.9835968017578,,,,,,,,,,,,,,,,,
82,82,TrialState.PRUNED,-364.87591552734375,2019-08-07 07:23:58.084451,2019-08-07 07:27:48.491003,128,0.2,0.00043404224460925775,0.9999,0.95,0.0001610990948797007,128,50,82,,-343.10015869140625,-348.6137390136719,-364.87591552734375,,,,,,,,,,,,,,,,,
83,83,TrialState.PRUNED,-257.47320556640625,2019-08-07 07:24:02.883779,2019-08-07 07:27:42.416349,128,0.4,9.881904484630431e-06,0.98,1.0,0.003078859654704399,128,50,83,,-289.72052001953125,-243.1573486328125,-257.47320556640625,,,,,,,,,,,,,,,,,
84,84,TrialState.PRUNED,-307.2518615722656,2019-08-07 07:27:42.607512,2019-08-07 07:30:29.637251,128,0.3,3.4844064170301213e-06,0.98,0.95,0.6990612118305048,512,1,84,,-255.6173553466797,-254.57693481445312,-307.2518615722656,,,,,,,,,,,,,,,,,
85,85,TrialState.PRUNED,-247.7321319580078,2019-08-07 07:27:48.681331,2019-08-07 07:30:31.634989,64,0.2,6.318796927487174e-07,0.995,0.9,0.48576007797024806,16,10,85,,-280.4554138183594,-256.74591064453125,-247.7321319580078,,,,,,,,,,,,,,,,,
86,86,TrialState.PRUNED,-292.35333251953125,2019-08-07 07:30:29.840658,2019-08-07 07:33:12.475097,128,0.4,5.57109144861031e-07,0.999,0.9,0.9121289018687625,32,5,86,,-223.0818328857422,-248.24246215820312,-292.35333251953125,,,,,,,,,,,,,,,,,
87,87,TrialState.COMPLETE,-214.0185089111328,2019-08-07 07:30:31.802553,2019-08-07 07:47:27.099727,64,0.4,2.561500900351186e-08,0.9999,0.9,0.028108736569220017,256,30,87,,-360.9970703125,-381.3197326660156,-379.20294189453125,-323.58062744140625,-405.73822021484375,-346.58648681640625,-342.1776123046875,-387.2829284667969,-218.48226928710938,-291.9588623046875,-183.3116455078125,-348.23895263671875,-375.68359375,-298.05279541015625,-335.54559326171875,-214.0185089111328,,,,
88,88,TrialState.COMPLETE,-458.64306640625,2019-08-07 07:33:12.677131,2019-08-07 07:48:37.773211,128,0.1,1.8656666376026072e-06,0.99,0.92,0.0007434005958530917,64,5,88,,-239.03109741210938,-333.2473449707031,-371.2565002441406,-368.1106872558594,-373.7717590332031,-394.06536865234375,-365.987060546875,-337.3362121582031,-393.2828674316406,-396.59918212890625,-321.27972412109375,-342.19732666015625,-353.2231750488281,-315.3218688964844,-346.8353271484375,-369.8271789550781,-379.75885009765625,-348.97869873046875,-458.64306640625,
89,89,TrialState.PRUNED,-287.8692321777344,2019-08-07 07:47:27.146587,2019-08-07 07:51:34.633589,32,0.2,0.0074872762274033385,0.99,0.99,0.00033292164885344533,2048,1,89,,-333.6481018066406,-344.956787109375,-287.8692321777344,,,,,,,,,,,,,,,,,
90,90,TrialState.PRUNED,-309.03582763671875,2019-08-07 07:48:37.822153,2019-08-07 07:51:25.092627,128,0.2,0.011776760369661233,0.95,0.92,0.014790691838932672,128,20,90,,-269.63604736328125,-333.26300048828125,-309.03582763671875,,,,,,,,,,,,,,,,,
91,91,TrialState.FAIL,,2019-08-07 07:51:25.313529,2019-08-07 07:51:42.391505,32,0.3,0.091370400288189,0.95,0.92,0.691556763332138,64,30,91,Setting status of trial#91 as TrialState.FAIL because of the following error: AssertionError(),,,,,,,,,,,,,,,,,,,,
92,92,TrialState.COMPLETE,-425.8324279785156,2019-08-07 07:51:34.841248,2019-08-07 08:08:16.740772,256,0.1,8.363818957989298e-06,0.9,0.9,5.7779466622354875e-05,256,30,92,,-285.9054260253906,-406.1851806640625,-348.82562255859375,-331.3364562988281,-309.20709228515625,-381.6061096191406,-405.58355712890625,-408.77337646484375,-404.3009338378906,-425.26861572265625,-392.410400390625,-378.3227844238281,-408.86346435546875,-385.05706787109375,-408.56121826171875,-425.8324279785156,,,,
93,93,TrialState.FAIL,,2019-08-07 07:51:42.619546,2019-08-07 07:52:36.111915,64,0.3,0.059506266454311896,0.999,0.8,0.2998675155278725,256,30,93,Setting status of trial#93 as TrialState.FAIL because of the following error: AssertionError(),,,,,,,,,,,,,,,,,,,,
94,94,TrialState.COMPLETE,-422.89825439453125,2019-08-07 07:52:36.348089,2019-08-07 08:05:26.834269,64,0.2,0.00011465336058655816,0.9,0.8,0.00011957600999736118,512,10,94,,-312.19293212890625,-374.85516357421875,-272.3252258300781,-339.52557373046875,-377.69757080078125,-360.0143737792969,-346.1755676269531,-298.64483642578125,-346.6141052246094,-418.27667236328125,-379.750244140625,-422.89825439453125,,,,,,,,
95,95,TrialState.COMPLETE,-378.8778991699219,2019-08-07 08:05:26.889944,2019-08-07 08:19:17.548787,128,0.1,0.01645530505859372,0.9999,0.95,1.3411790004660428e-05,256,10,95,,-351.9320983886719,-386.98516845703125,-376.3793029785156,-322.77001953125,-335.7060546875,-332.0311279296875,-320.02032470703125,-380.1092834472656,-395.2635803222656,-375.7469787597656,-355.81158447265625,-359.9814147949219,-320.957763671875,-397.2447509765625,-399.8837890625,-378.8778991699219,,,,
96,96,TrialState.PRUNED,-170.2948455810547,2019-08-07 08:08:16.794508,2019-08-07 08:10:25.219063,32,0.3,2.1604900002667303e-06,0.98,0.92,0.056620684408986134,16,1,96,,-163.46531677246094,-58.999176025390625,-170.2948455810547,,,,,,,,,,,,,,,,,
97,97,TrialState.COMPLETE,-418.0232849121094,2019-08-07 08:10:25.424169,2019-08-07 08:22:36.988103,256,0.3,1.3272373312821063e-05,0.99,0.92,0.00018544392950008352,1024,10,97,,-328.5732727050781,-386.82916259765625,-382.80242919921875,-343.39642333984375,-316.12884521484375,-390.8382263183594,-370.94232177734375,-386.26885986328125,-375.6690368652344,-409.2914123535156,-399.07830810546875,-418.0232849121094,,,,,,,,
98,98,TrialState.COMPLETE,-257.45599365234375,2019-08-07 08:19:17.605710,2019-08-07 08:30:32.367107,128,0.2,0.0002273479277221037,0.99,0.9,0.025268089454075895,256,10,98,,-372.93914794921875,-324.3869934082031,-296.1333312988281,-394.8465881347656,-291.14385986328125,-308.435546875,-371.592529296875,-249.14852905273438,-366.2916564941406,-229.9692840576172,-262.5903015136719,-387.09503173828125,-363.0372619628906,-367.3812255859375,-363.15863037109375,-257.45599365234375,,,,
99,99,TrialState.PRUNED,-325.0145568847656,2019-08-07 08:22:37.040383,2019-08-07 08:27:24.292250,32,0.3,0.014277209793622807,0.9999,0.92,0.02405539050163274,2048,5,99,,-317.93157958984375,-332.7047424316406,-325.0145568847656,,,,,,,,,,,,,,,,,
