,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
14,14,TrialState.PRUNED,-372.19256591796875,2019-08-07 02:56:04.871502,2019-08-07 03:00:06.196953,128,0.3,1.1829908421618713e-06,0.99,0.92,3.9900910508086456e-05,64,5,14,,-365.6708068847656,-351.54315185546875,-323.7015686035156,-308.63824462890625,-372.19256591796875,,,,,,,,,,,,,,,
15,15,TrialState.COMPLETE,-313.02984619140625,2019-08-07 03:00:06.442639,2019-08-07 03:18:21.481701,128,0.4,0.0007035659865299795,0.9999,0.9,2.092847008891181e-05,128,30,15,,-212.5759735107422,-397.1767578125,-302.02960205078125,-432.4981384277344,-438.8453063964844,-441.77667236328125,-432.06219482421875,-405.8877868652344,-434.75201416015625,-370.870849609375,-364.44622802734375,-403.79010009765625,-361.188232421875,-452.1361389160156,-400.03302001953125,-439.22589111328125,-438.81744384765625,-380.2439880371094,-313.02984619140625,
16,16,TrialState.PRUNED,-349.0523681640625,2019-08-07 03:00:54.153135,2019-08-07 03:03:41.060258,128,0.3,0.0001075537281247823,0.9999,0.8,2.949188649641697e-05,128,20,16,,-336.3182067871094,-304.359130859375,-349.0523681640625,,,,,,,,,,,,,,,,,
17,17,TrialState.COMPLETE,-148.86871337890625,2019-08-07 03:03:41.272783,2019-08-07 03:21:26.237656,256,0.3,0.007757161518964252,0.99,1.0,0.017213560129739302,64,20,17,,-387.51922607421875,-390.891845703125,-271.67364501953125,-316.15325927734375,-326.26434326171875,-373.51422119140625,-373.5020446777344,-218.89492797851562,-322.3162841796875,-280.1250915527344,-277.32861328125,-315.3495788574219,-329.028564453125,-334.01141357421875,-212.2364044189453,-300.77410888671875,-241.2880096435547,-261.3326110839844,-148.86871337890625,
18,18,TrialState.PRUNED,-323.6265563964844,2019-08-07 03:18:21.493227,2019-08-07 03:21:55.539418,128,0.1,3.87843617778819e-06,0.9,0.92,6.67885940304771e-05,128,50,18,,-311.60015869140625,-356.80865478515625,-323.6265563964844,,,,,,,,,,,,,,,,,
19,19,TrialState.PRUNED,-344.2398986816406,2019-08-07 03:21:26.250650,2019-08-07 03:24:44.109175,256,0.1,1.0789875507713825e-05,0.98,0.8,0.0002769377664622523,1024,20,19,,-350.09295654296875,-358.12451171875,-344.2398986816406,,,,,,,,,,,,,,,,,
20,20,TrialState.PRUNED,-329.69482421875,2019-08-07 03:21:55.742436,2019-08-07 03:24:26.517708,128,0.3,0.04669206491248252,0.9,0.98,0.00013043921100581486,64,1,20,,-357.72332763671875,-357.01873779296875,-329.69482421875,,,,,,,,,,,,,,,,,
21,21,TrialState.PRUNED,-351.9472351074219,2019-08-07 03:24:26.713212,2019-08-07 03:27:47.183727,256,0.2,0.004972613880453016,0.99,0.8,0.00030703278662754413,512,20,21,,-314.6095275878906,-296.70074462890625,-351.9472351074219,,,,,,,,,,,,,,,,,
22,22,TrialState.PRUNED,-251.28042602539062,2019-08-07 03:24:44.316964,2019-08-07 03:27:25.547188,32,0.1,0.0007042407162426875,0.999,1.0,0.25625763237199567,16,5,22,,-212.5147705078125,-230.00711059570312,-251.28042602539062,,,,,,,,,,,,,,,,,
23,23,TrialState.PRUNED,-297.6461486816406,2019-08-07 03:27:25.763669,2019-08-07 03:31:00.221004,64,0.4,9.267985377369853e-06,0.99,0.9,0.016593996576192826,512,20,23,,-292.0580139160156,-282.23358154296875,-297.6461486816406,,,,,,,,,,,,,,,,,
24,24,TrialState.COMPLETE,-298.41192626953125,2019-08-07 03:27:47.385165,2019-08-07 03:41:12.163917,128,0.2,4.833208996930347e-06,0.999,0.8,0.0002753943473396786,512,10,24,,-339.36956787109375,-410.252197265625,-406.6236267089844,-369.23126220703125,-439.27191162109375,-414.86572265625,-373.7028503417969,-327.68609619140625,-408.3896789550781,-384.7860412597656,-358.72039794921875,-298.41192626953125,,,,,,,,
25,25,TrialState.COMPLETE,-397.00714111328125,2019-08-07 03:31:00.436072,2019-08-07 03:43:46.111784,128,0.2,3.008338034851921e-06,0.99,0.8,2.8964727519363664e-05,2048,30,25,,-341.37261962890625,-346.9114990234375,-401.8043212890625,-343.60711669921875,-314.1695251464844,-397.00714111328125,,,,,,,,,,,,,,
26,26,TrialState.PRUNED,-344.1625061035156,2019-08-07 03:41:12.183869,2019-08-07 03:56:01.175685,64,0.1,9.746469643787671e-08,0.99,1.0,0.0001277360334229857,16,20,26,,-356.8251647949219,-379.2490539550781,-353.7567138671875,-364.1820983886719,-291.54156494140625,-324.0341491699219,-189.5067901611328,-296.6625061035156,-305.076904296875,-321.2557373046875,-275.6236267089844,-344.99462890625,-362.6365051269531,-359.387939453125,-344.1625061035156,,,,,
27,27,TrialState.PRUNED,-277.38812255859375,2019-08-07 03:43:46.128300,2019-08-07 03:47:32.430711,128,0.1,5.030234264555871e-08,0.999,0.92,0.03307066421636088,512,30,27,,-318.7896423339844,-13.411666870117188,-277.38812255859375,,,,,,,,,,,,,,,,,
28,28,TrialState.PRUNED,-331.5103454589844,2019-08-07 03:47:32.651143,2019-08-07 03:50:38.406783,128,0.3,0.01193664839686921,0.999,0.95,5.587808619859331e-05,128,20,28,,-313.6677551269531,-348.4871826171875,-331.5103454589844,,,,,,,,,,,,,,,,,
29,29,TrialState.FAIL,,2019-08-07 03:50:38.625502,2019-08-07 03:52:26.828299,64,0.2,0.0044795326983911605,0.999,0.95,0.1737965482009738,2048,20,29,Setting status of trial#29 as TrialState.FAIL because of the following error: AssertionError(),,,,,,,,,,,,,,,,,,,,
30,30,TrialState.COMPLETE,0.9351328611373901,2019-08-07 03:52:27.068517,2019-08-07 04:05:06.627202,256,0.3,1.4955425672127409e-05,0.95,0.98,0.030700388104416016,32,10,30,,-309.6731872558594,-386.03631591796875,-369.96380615234375,-1.240152359008789,-92.59632110595703,-258.54461669921875,-157.18780517578125,-60.40620803833008,-309.01470947265625,-232.21859741210938,-138.20550537109375,-0.8913853764533997,-2.9166393280029297,-79.3862533569336,-0.11149315536022186,0.2512803077697754,0.05458097532391548,-185.77560424804688,0.9351328611373901,
31,31,TrialState.PRUNED,1.8400741815567017,2019-08-07 03:56:01.380831,2019-08-07 04:03:26.494729,256,0.4,1.2078099118097927e-08,0.95,0.99,0.19011514361861373,2048,50,31,,-238.00479125976562,-188.26290893554688,1.8400741815567017,,,,,,,,,,,,,,,,,
32,32,TrialState.PRUNED,-262.89324951171875,2019-08-07 04:03:26.695911,2019-08-07 04:06:47.107417,64,0.1,2.400854927063972e-08,0.98,0.8,0.00402886792973921,256,30,32,,-259.3992004394531,-296.72625732421875,-262.89324951171875,,,,,,,,,,,,,,,,,
33,33,TrialState.PRUNED,-84.55352783203125,2019-08-07 04:05:06.648691,2019-08-07 04:07:26.233226,256,0.3,0.04062919863309306,0.999,0.99,0.23597434442609364,64,1,33,,-198.9157257080078,-238.99295043945312,-84.55352783203125,,,,,,,,,,,,,,,,,
34,34,TrialState.PRUNED,-374.5740966796875,2019-08-07 04:06:47.312579,2019-08-07 04:28:00.107479,64,0.1,2.2521141398482903e-08,0.9,0.8,0.0031632352283122,32,30,34,,-259.12921142578125,-363.1730651855469,-378.17169189453125,-357.43292236328125,-350.0075378417969,-316.24908447265625,-266.80853271484375,-374.2449645996094,-378.6209716796875,-205.71713256835938,-405.87567138671875,-256.28228759765625,-287.30450439453125,-268.15728759765625,-311.76666259765625,-289.70074462890625,-309.6171569824219,-284.6817932128906,-359.5580749511719,-374.5740966796875
35,35,TrialState.PRUNED,-323.3040466308594,2019-08-07 04:07:26.453852,2019-08-07 04:09:50.620000,64,0.2,0.00013470069437128174,0.995,0.92,0.004766109491313372,128,5,35,,-313.5287170410156,-269.2942199707031,-323.3040466308594,,,,,,,,,,,,,,,,,
36,36,TrialState.COMPLETE,-450.8257751464844,2019-08-07 04:09:50.837986,2019-08-07 04:26:55.072162,64,0.1,2.0107174231432454e-07,0.995,0.99,0.00011200018624937378,512,30,36,,-427.47283935546875,-383.3606872558594,-439.03521728515625,-426.96136474609375,-370.7721862792969,-418.04522705078125,-426.0252990722656,-419.5187072753906,-400.13763427734375,-398.6635437011719,-419.4148864746094,-450.8257751464844,,,,,,,,
