,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,TrialState.FAIL,,2019-06-09 18:39:12.200553,2019-06-09 18:39:35.634129,32,0.4,0.010130230408794483,0.999,1.0,0.1664672261412471,2048,10,0,Setting status of trial#0 as TrialState.FAIL because of the following error: InvalidArgumentError(),,,,,,,,,,,,,,,,,,,
1,1,TrialState.COMPLETE,-637.1367797851562,2019-06-09 18:39:12.200808,2019-06-09 18:42:07.408461,256,0.1,2.4945421193251008e-08,0.999,0.9,0.001541473476191709,32,10,1,,-17.1829891204834,-40.22201919555664,-46.948333740234375,-88.18058776855469,-115.4814682006836,-323.138427734375,-575.6754150390625,-567.2737426757812,-641.403076171875,-718.1231079101562,-635.4300537109375,-509.11676025390625,-498.850830078125,-565.9009399414062,-640.402587890625,-519.3590087890625,-518.4141235351562,-654.1221923828125,-637.1367797851562
2,2,TrialState.COMPLETE,-17.939334869384766,2019-06-09 18:39:35.759289,2019-06-09 18:40:30.883046,128,0.2,0.030142305558202694,0.9999,0.9,0.006921859910208607,2048,1,2,,-17.408159255981445,-19.265371322631836,-17.939334869384766,,,,,,,,,,,,,,,,
3,3,TrialState.COMPLETE,-12.362878799438477,2019-06-09 18:40:30.885226,2019-06-09 18:41:29.787577,32,0.4,0.0027996081984870843,0.9,0.92,0.14557916623227773,128,1,3,,-9.173301696777344,-12.820802688598633,-11.602499008178711,-12.020054817199707,-10.54632568359375,-10.292314529418945,-12.618435859680176,-10.682323455810547,-11.484016418457031,-11.468539237976074,-11.737836837768555,-11.942497253417969,-12.041865348815918,-12.010452270507812,-11.843988418579102,-12.362878799438477,,,
