,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
57,57,TrialState.PRUNED,-1534.578857421875,2019-08-07 06:12:53.522065,2019-08-07 06:15:59.007072,32,0.3,6.258818710676168e-06,0.99,0.98,0.0006256869332033044,1024,5,57,,-1551.4254150390625,-1578.947998046875,-1534.578857421875,,,,,,,,,,,,,,,,,
58,58,TrialState.PRUNED,-1527.874755859375,2019-08-07 06:15:59.201973,2019-08-07 06:20:44.280443,256,0.3,0.04678371515304711,0.99,0.9,0.000423205716934082,2048,10,58,,-1579.1314697265625,-1564.5303955078125,-1527.874755859375,,,,,,,,,,,,,,,,,
59,59,TrialState.PRUNED,-1403.054443359375,2019-08-07 06:18:21.592999,2019-08-07 06:20:51.409669,256,0.1,5.680140017481943e-07,0.995,0.92,0.25959719183473734,128,1,59,,-1410.990966796875,-1391.223388671875,-1403.054443359375,,,,,,,,,,,,,,,,,
60,60,TrialState.PRUNED,-1497.425048828125,2019-08-07 06:20:44.474311,2019-08-07 06:24:39.044749,32,0.1,0.010564725485551024,0.999,0.9,0.006121304118151216,128,30,60,,-1508.9677734375,-1436.1219482421875,-1497.425048828125,,,,,,,,,,,,,,,,,
61,61,TrialState.COMPLETE,-1556.8995361328125,2019-08-07 06:20:51.595247,2019-08-07 06:46:24.972040,32,0.2,1.2917856070485814e-06,0.98,0.99,1.891784235480046e-05,256,50,61,,-1555.107421875,-1586.0806884765625,-1590.8292236328125,-1548.871337890625,-1587.5146484375,-1641.4967041015625,-1571.586181640625,-1583.7738037109375,-1632.32275390625,-1591.9423828125,-1562.89453125,-1605.5015869140625,-1588.515869140625,-1604.7357177734375,-1587.337646484375,-1556.8995361328125,,,,
62,62,TrialState.PRUNED,-1392.0386962890625,2019-08-07 06:24:39.245012,2019-08-07 06:31:48.034312,64,0.4,9.652324769241093e-07,0.999,0.99,0.030069570729407295,2048,20,62,,-1537.293212890625,-1413.754150390625,-1392.0386962890625,,,,,,,,,,,,,,,,,
63,63,TrialState.PRUNED,-1567.105712890625,2019-08-07 06:31:48.312991,2019-08-07 06:34:42.564440,256,0.4,0.000756799248385741,0.99,0.99,1.924156455573086e-05,256,1,63,,-1538.92919921875,-1581.928466796875,-1567.105712890625,,,,,,,,,,,,,,,,,
64,64,TrialState.COMPLETE,-1627.4881591796875,2019-08-07 06:34:42.829988,2019-08-07 06:55:25.554317,256,0.2,0.0001297769150859259,0.9999,0.8,0.000739717153282996,128,30,64,,-1592.924072265625,-1564.1810302734375,-1573.540771484375,-1595.40478515625,-1603.848876953125,-1614.023681640625,-1585.5205078125,-1583.6553955078125,-1640.121337890625,-1583.40234375,-1632.6002197265625,-1552.5888671875,-1579.1976318359375,-1582.84375,-1619.98583984375,-1577.0072021484375,-1614.8692626953125,-1551.0679931640625,-1627.4881591796875,
65,65,TrialState.PRUNED,-1563.418701171875,2019-08-07 06:46:25.004934,2019-08-07 06:50:19.591600,256,0.3,2.0525139087697197e-08,0.9,0.92,0.0019919545214867325,1024,20,65,,-1573.8502197265625,-1547.75439453125,-1563.418701171875,,,,,,,,,,,,,,,,,
66,66,TrialState.COMPLETE,-1568.078369140625,2019-08-07 06:50:19.777417,2019-08-07 06:59:29.677999,256,0.4,0.00011035719208702894,0.9,0.98,0.0003420192085916292,2048,5,66,,-1554.718994140625,-1572.0057373046875,-1608.295166015625,-1553.50830078125,-1630.466796875,-1568.078369140625,,,,,,,,,,,,,,
67,67,TrialState.PRUNED,-1511.2191162109375,2019-08-07 06:55:25.589494,2019-08-07 06:58:33.212471,256,0.2,1.31543554944804e-07,0.98,0.9,0.0060554599478899445,32,20,67,,-1505.671630859375,-1521.3392333984375,-1511.2191162109375,,,,,,,,,,,,,,,,,
68,68,TrialState.COMPLETE,-1548.050537109375,2019-08-07 06:58:33.411487,2019-08-07 07:13:09.867049,256,0.1,1.0692943306539131e-07,0.995,1.0,0.00042503415645610363,64,5,68,,-1557.552734375,-1588.458251953125,-1548.613525390625,-1564.30029296875,-1584.1207275390625,-1561.148193359375,-1578.8594970703125,-1608.1768798828125,-1572.767578125,-1541.927001953125,-1578.7581787109375,-1638.4359130859375,-1616.062255859375,-1593.683837890625,-1569.658203125,-1533.95703125,-1626.4305419921875,-1592.25244140625,-1548.050537109375,
69,69,TrialState.PRUNED,-1569.577880859375,2019-08-07 06:59:29.716095,2019-08-07 07:02:29.549409,32,0.3,0.023649015000495138,0.98,0.9,2.892683058218275e-05,32,20,69,,-1576.7861328125,-1536.9500732421875,-1569.577880859375,,,,,,,,,,,,,,,,,
70,70,TrialState.PRUNED,-1580.7093505859375,2019-08-07 07:02:29.739440,2019-08-07 07:07:31.307245,128,0.3,9.64142355719148e-06,0.98,0.95,2.9329001801011224e-05,2048,10,70,,-1559.22021484375,-1558.4423828125,-1580.7093505859375,,,,,,,,,,,,,,,,,
71,71,TrialState.COMPLETE,-1586.4075927734375,2019-08-07 07:07:31.539626,2019-08-07 07:18:12.369582,128,0.1,0.0013175933067699672,0.9,0.92,1.3656673416552015e-05,1024,1,71,,-1628.5999755859375,-1586.5794677734375,-1553.169189453125,-1614.25146484375,-1590.140380859375,-1554.5677490234375,-1573.5098876953125,-1526.462158203125,-1556.288330078125,-1656.028076171875,-1556.1129150390625,-1586.4075927734375,,,,,,,,
72,72,TrialState.PRUNED,-1573.7498779296875,2019-08-07 07:13:09.907092,2019-08-07 07:16:09.359715,256,0.4,0.0001370531927748255,0.9999,1.0,0.0019529635436328463,512,5,72,,-1543.166259765625,-1576.666748046875,-1573.7498779296875,,,,,,,,,,,,,,,,,
73,73,TrialState.COMPLETE,-1441.46484375,2019-08-07 07:16:09.558384,2019-08-07 07:33:05.532533,64,0.3,0.005563778666223539,0.98,0.98,0.007564074719136701,128,10,73,,-1561.197998046875,-1528.0924072265625,-1631.094970703125,-1580.760986328125,-1563.6134033203125,-1504.791259765625,-1500.452392578125,-1547.312255859375,-1502.185546875,-1475.6173095703125,-1492.9195556640625,-1502.86962890625,-1491.6859130859375,-1521.9156494140625,-1463.3150634765625,-1521.3914794921875,-1487.537841796875,-1524.1356201171875,-1441.46484375,
74,74,TrialState.COMPLETE,-1455.667724609375,2019-08-07 07:18:12.406819,2019-08-07 07:34:10.439245,128,0.3,6.152332665223691e-06,0.99,1.0,0.013947365926504713,512,30,74,,-1625.783203125,-1543.2064208984375,-1479.9588623046875,-1563.878662109375,-1482.511962890625,-1514.986572265625,-1473.7532958984375,-1489.61572265625,-1520.5279541015625,-1512.7808837890625,-1445.7862548828125,-1455.667724609375,,,,,,,,
75,75,TrialState.PRUNED,-1399.4410400390625,2019-08-07 07:33:05.573683,2019-08-07 07:35:21.756970,64,0.3,1.7105366578849403e-08,0.95,0.95,0.17586991032487445,64,1,75,,-1395.228271484375,-1466.34423828125,-1399.4410400390625,,,,,,,,,,,,,,,,,
76,76,TrialState.COMPLETE,-1584.996826171875,2019-08-07 07:34:10.477778,2019-08-07 07:48:06.322369,64,0.2,1.9798225961973459e-07,0.9,0.99,1.2068200403467223e-05,64,1,76,,-1587.5614013671875,-1652.114013671875,-1545.2003173828125,-1548.61181640625,-1625.131591796875,-1581.90283203125,-1621.4930419921875,-1598.9378662109375,-1525.3848876953125,-1576.883056640625,-1594.108154296875,-1588.6353759765625,-1613.055419921875,-1588.3873291015625,-1607.909423828125,-1588.371337890625,-1547.27490234375,-1578.428466796875,-1584.996826171875,
77,77,TrialState.PRUNED,-1554.0869140625,2019-08-07 07:35:21.944467,2019-08-07 07:37:34.583487,32,0.4,4.407507898821775e-08,0.99,1.0,3.107348880560463e-05,64,1,77,,-1578.704345703125,-1536.0345458984375,-1554.0869140625,,,,,,,,,,,,,,,,,
78,78,TrialState.FAIL,,2019-08-07 07:37:34.777669,2019-08-07 07:39:06.384443,32,0.1,4.535171615999516e-05,0.995,0.95,0.15760312846337912,1024,50,78,Setting status of trial#78 as TrialState.FAIL because of the following error: AssertionError(),,,,,,,,,,,,,,,,,,,,
79,79,TrialState.COMPLETE,-1554.4599609375,2019-08-07 07:39:06.600608,2019-08-07 07:50:25.206793,64,0.4,5.920226956520813e-07,0.95,0.95,0.00012758645677339472,512,5,79,,-1601.572021484375,-1535.0301513671875,-1620.3411865234375,-1587.1517333984375,-1588.3226318359375,-1608.4344482421875,-1569.917724609375,-1555.7655029296875,-1560.635498046875,-1614.7200927734375,-1561.871826171875,-1554.4599609375,,,,,,,,
80,80,TrialState.COMPLETE,-1622.0341796875,2019-08-07 07:48:06.363675,2019-08-07 08:12:23.642309,64,0.2,4.171213087519297e-06,0.98,1.0,0.0001672080073401165,128,50,80,,-1568.051025390625,-1630.121337890625,-1563.571533203125,-1530.011962890625,-1603.237060546875,-1571.418212890625,-1537.56591796875,-1581.884765625,-1586.5760498046875,-1593.203857421875,-1608.8382568359375,-1546.872314453125,-1553.6802978515625,-1650.951171875,-1595.756591796875,-1563.6962890625,-1564.5191650390625,-1601.4581298828125,-1622.0341796875,
81,81,TrialState.PRUNED,-1378.466064453125,2019-08-07 07:50:25.249113,2019-08-07 07:54:14.276722,32,0.2,0.0003021127729551304,0.9999,0.92,0.10842119256455367,32,30,81,,-1400.772705078125,-1378.2052001953125,-1378.466064453125,,,,,,,,,,,,,,,,,
82,82,TrialState.PRUNED,-1581.711181640625,2019-08-07 07:54:14.474880,2019-08-07 07:58:24.800874,128,0.2,0.00043404224460925775,0.9999,0.95,0.0001610990948797007,128,50,82,,-1554.107177734375,-1557.800537109375,-1581.711181640625,,,,,,,,,,,,,,,,,
83,83,TrialState.PRUNED,-1580.4722900390625,2019-08-07 07:58:24.997287,2019-08-07 08:02:35.380905,128,0.4,9.881904484630431e-06,0.98,1.0,0.003078859654704399,128,50,83,,-1538.3218994140625,-1553.029052734375,-1580.4722900390625,,,,,,,,,,,,,,,,,
84,84,TrialState.PRUNED,-1385.2457275390625,2019-08-07 08:02:35.581070,2019-08-07 08:05:50.617473,128,0.3,3.4844064170301213e-06,0.98,0.95,0.6990612118305048,512,1,84,,-1378.7393798828125,-1395.226318359375,-1385.2457275390625,,,,,,,,,,,,,,,,,
85,85,TrialState.PRUNED,-1363.00244140625,2019-08-07 08:05:50.816178,2019-08-07 08:09:01.310170,64,0.2,6.318796927487174e-07,0.995,0.9,0.48576007797024806,16,10,85,,-1436.6827392578125,-1383.932861328125,-1363.00244140625,,,,,,,,,,,,,,,,,
86,86,TrialState.PRUNED,-1436.7769775390625,2019-08-07 08:09:01.631199,2019-08-07 08:11:50.733248,128,0.4,5.57109144861031e-07,0.999,0.9,0.9121289018687625,32,5,86,,-1405.9720458984375,-1422.7080078125,-1436.7769775390625,,,,,,,,,,,,,,,,,
87,87,TrialState.PRUNED,-1420.545166015625,2019-08-07 08:11:50.930686,2019-08-07 08:15:22.277034,64,0.4,2.561500900351186e-08,0.9999,0.9,0.028108736569220017,256,30,87,,-1437.2520751953125,-1451.6177978515625,-1420.545166015625,,,,,,,,,,,,,,,,,
88,88,TrialState.COMPLETE,-1665.5494384765625,2019-08-07 08:12:23.688581,2019-08-07 08:27:12.859847,128,0.1,1.8656666376026072e-06,0.99,0.92,0.0007434005958530917,64,5,88,,-1585.2412109375,-1585.6900634765625,-1586.0091552734375,-1639.138427734375,-1595.11962890625,-1599.02099609375,-1586.7724609375,-1683.9222412109375,-1591.9052734375,-1565.3463134765625,-1576.374267578125,-1575.30419921875,-1525.8980712890625,-1560.66845703125,-1643.558349609375,-1573.0257568359375,-1568.57080078125,-1607.301025390625,-1665.5494384765625,
89,89,TrialState.COMPLETE,-1594.131103515625,2019-08-07 08:15:22.470202,2019-08-07 08:23:29.745484,32,0.2,0.0074872762274033385,0.99,0.99,0.00033292164885344533,2048,1,89,,-1559.9638671875,-1561.9859619140625,-1593.3936767578125,-1568.60595703125,-1524.017578125,-1594.131103515625,,,,,,,,,,,,,,
90,90,TrialState.PRUNED,-1509.072509765625,2019-08-07 08:23:29.796507,2019-08-07 08:26:17.235545,128,0.2,0.011776760369661233,0.95,0.92,0.014790691838932672,128,20,90,,-1529.8221435546875,-1530.7613525390625,-1509.072509765625,,,,,,,,,,,,,,,,,
91,91,TrialState.FAIL,,2019-08-07 08:26:17.431762,2019-08-07 08:26:41.785079,32,0.3,0.091370400288189,0.95,0.92,0.691556763332138,64,30,91,Setting status of trial#91 as TrialState.FAIL because of the following error: AssertionError(),,,,,,,,,,,,,,,,,,,,
92,92,TrialState.PRUNED,-1542.2724609375,2019-08-07 08:26:42.004645,2019-08-07 08:30:08.574558,256,0.1,8.363818957989298e-06,0.9,0.9,5.7779466622354875e-05,256,30,92,,-1553.043212890625,-1548.273193359375,-1542.2724609375,,,,,,,,,,,,,,,,,
93,93,TrialState.FAIL,,2019-08-07 08:27:12.914530,2019-08-07 08:28:10.925901,64,0.3,0.059506266454311896,0.999,0.8,0.2998675155278725,256,30,93,Setting status of trial#93 as TrialState.FAIL because of the following error: AssertionError(),,,,,,,,,,,,,,,,,,,,
94,94,TrialState.COMPLETE,-1550.8900146484375,2019-08-07 08:28:11.258536,2019-08-07 08:40:39.624651,64,0.2,0.00011465336058655816,0.9,0.8,0.00011957600999736118,512,10,94,,-1565.459716796875,-1651.6392822265625,-1618.416259765625,-1551.262451171875,-1653.599365234375,-1554.397216796875,-1629.075927734375,-1557.2000732421875,-1590.2626953125,-1571.0191650390625,-1563.417724609375,-1550.8900146484375,,,,,,,,
95,95,TrialState.PRUNED,-1572.635009765625,2019-08-07 08:30:08.886146,2019-08-07 08:33:00.371088,128,0.1,0.01645530505859372,0.9999,0.95,1.3411790004660428e-05,256,10,95,,-1569.571533203125,-1552.1368408203125,-1572.635009765625,,,,,,,,,,,,,,,,,
96,96,TrialState.PRUNED,-1428.6990966796875,2019-08-07 08:33:00.572594,2019-08-07 08:35:23.465133,32,0.3,2.1604900002667303e-06,0.98,0.92,0.056620684408986134,16,1,96,,-1477.107177734375,-1394.120361328125,-1428.6990966796875,,,,,,,,,,,,,,,,,
97,97,TrialState.PRUNED,-1550.8201904296875,2019-08-07 08:35:23.660973,2019-08-07 08:38:37.014690,256,0.3,1.3272373312821063e-05,0.99,0.92,0.00018544392950008352,1024,10,97,,-1538.170166015625,-1572.496826171875,-1550.8201904296875,,,,,,,,,,,,,,,,,
98,98,TrialState.PRUNED,-1413.5621337890625,2019-08-07 08:38:37.213530,2019-08-07 08:41:25.044984,128,0.2,0.0002273479277221037,0.99,0.9,0.025268089454075895,256,10,98,,-1513.6580810546875,-1477.247802734375,-1413.5621337890625,,,,,,,,,,,,,,,,,
99,99,TrialState.PRUNED,-1416.4703369140625,2019-08-07 08:40:39.675720,2019-08-07 08:43:41.299664,32,0.3,0.014277209793622807,0.9999,0.92,0.02405539050163274,2048,5,99,,-1416.6270751953125,-1456.43310546875,-1416.4703369140625,,,,,,,,,,,,,,,,,
