,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15,15,TrialState.PRUNED,-11.739339828491211,2019-08-07 02:04:47.550892,2019-08-07 02:06:22.605913,128,0.4,0.0007035659865299795,0.9999,0.9,2.092847008891181e-05,128,30,15,,-10.444314956665039,-15.431909561157227,-11.739339828491211,,,,,,,,,,,,,,,,,,
16,16,TrialState.PRUNED,-13.394269943237305,2019-08-07 02:06:22.829979,2019-08-07 02:07:40.110119,128,0.3,0.0001075537281247823,0.9999,0.8,2.949188649641697e-05,128,20,16,,-13.846078872680664,-13.323690414428711,-13.394269943237305,,,,,,,,,,,,,,,,,,
17,17,TrialState.PRUNED,-20.017322540283203,2019-08-07 02:07:33.346866,2019-08-07 02:10:43.277896,256,0.3,0.007757161518964252,0.99,1.0,0.017213560129739302,64,20,17,,-27.62969398498535,-17.854446411132812,-17.699451446533203,-17.729515075683594,-17.943279266357422,-23.778711318969727,-20.017322540283203,,,,,,,,,,,,,,
18,18,TrialState.PRUNED,-14.784184455871582,2019-08-07 02:07:40.336375,2019-08-07 02:09:51.693938,128,0.1,3.87843617778819e-06,0.9,0.92,6.67885940304771e-05,128,50,18,,-15.402366638183594,-14.711446762084961,-14.784184455871582,,,,,,,,,,,,,,,,,,
19,19,TrialState.PRUNED,-15.657392501831055,2019-08-07 02:09:51.915340,2019-08-07 02:13:24.353942,256,0.1,1.0789875507713825e-05,0.98,0.8,0.0002769377664622523,1024,20,19,,-16.99728775024414,-15.417675971984863,-14.374567031860352,-14.935562133789062,-14.163006782531738,-15.657392501831055,,,,,,,,,,,,,,,
20,20,TrialState.PRUNED,-13.993261337280273,2019-08-07 02:10:43.514551,2019-08-07 02:11:40.889477,128,0.3,0.04669206491248252,0.9,0.98,0.00013043921100581486,64,1,20,,-13.490077018737793,-10.2188138961792,-13.993261337280273,,,,,,,,,,,,,,,,,,
21,21,TrialState.PRUNED,-15.270452499389648,2019-08-07 02:11:41.101772,2019-08-07 02:13:37.570860,256,0.2,0.004972613880453016,0.99,0.8,0.00030703278662754413,512,20,21,,-13.903371810913086,-13.970483779907227,-15.270452499389648,,,,,,,,,,,,,,,,,,
22,22,TrialState.PRUNED,-12.897804260253906,2019-08-07 02:13:24.673605,2019-08-07 02:14:34.116910,32,0.1,0.0007042407162426875,0.999,1.0,0.25625763237199567,16,5,22,,-11.891989707946777,-13.152003288269043,-12.897804260253906,,,,,,,,,,,,,,,,,,
23,23,TrialState.COMPLETE,-77.10933685302734,2019-08-07 02:13:37.809177,2019-08-07 02:21:44.684993,64,0.4,9.267985377369853e-06,0.99,0.9,0.016593996576192826,512,20,23,,-14.153509140014648,-17.365673065185547,-16.36958885192871,-23.284679412841797,-44.986297607421875,-40.700599670410156,-57.43886184692383,-67.8996810913086,-61.82265090942383,-50.62732696533203,-65.93937683105469,-77.10933685302734,,,,,,,,,
24,24,TrialState.PRUNED,-14.596954345703125,2019-08-07 02:14:34.411748,2019-08-07 02:16:23.019699,128,0.2,4.833208996930347e-06,0.999,0.8,0.0002753943473396786,512,10,24,,-12.5096435546875,-15.786527633666992,-14.596954345703125,,,,,,,,,,,,,,,,,,
25,25,TrialState.PRUNED,-14.200840950012207,2019-08-07 02:16:23.245696,2019-08-07 02:21:28.663647,128,0.2,3.008338034851921e-06,0.99,0.8,2.8964727519363664e-05,2048,30,25,,-13.391942977905273,-12.012917518615723,-14.200840950012207,,,,,,,,,,,,,,,,,,
